"src_ip","dst_ip",start,finish,"total_duration","total_bytes","total_packets","src_ports","dst_ports",pps,bps,bpp,"num_protocols","total_http_errors","total_failures","flag_syn","flag_ack"
"103.243.172.110","192.168.10.19","2017-07-07 17:57:07.985","2017-07-07 18:13:05.788","957.802854",17160,42,1,4,"0.0438503600","17.9160042","408.57142857142856",2,0,0,4,42
"103.43.91.16","192.168.10.9","2017-07-07 19:23:50.179","2017-07-07 19:25:47.422","117.242680",26253,75,1,3,"0.639698785","223.920163","350.04",2,0,0,3,75
"103.6.0.15","192.168.10.19","2017-07-07 17:57:04.142","2017-07-07 18:13:24.288","980.145717",22075,122,1,8,"0.124471288","22.5221614","180.94262295081967",2,0,0,8,122
"103.6.0.2","192.168.10.19","2017-07-07 17:57:07.153","2017-07-07 18:12:35.076","927.923185",95277,155,1,13,"0.167039689","102.677680","614.6903225806452",2,0,0,13,148
"103.6.0.3","192.168.10.19","2017-07-07 17:57:03.161","2017-07-07 17:58:18.005","74.844306",50235,74,1,4,"0.98871917","671.19334","678.8513513513514",2,0,0,4,73
"104.105.77.229","192.168.10.14","2017-07-07 19:58:57.343","2017-07-07 20:01:59.576","182.232355",39040,50,1,3,"0.274374987","214.231990","780.8",2,0,0,3,50
"104.106.241.83","192.168.10.9","2017-07-07 19:16:04.576","2017-07-07 19:17:59.785","115.209021",7604,29,1,2,"0.251716400","66.0017760","262.2068965517241",2,0,0,2,29
"104.106.249.194","192.168.10.16","2017-07-07 19:13:44.157","2017-07-07 19:13:48.844","4.687366",103361,76,1,4,"16.21380","22050.98","1360.0131578947369",2,0,0,4,76
"104.106.252.25","192.168.10.5","2017-07-07 19:32:26.559","2017-07-07 19:34:22.456","115.897179",14749,34,1,2,"0.293363482","127.259353","433.79411764705884",2,0,0,2,34
"104.107.3.159","192.168.10.15","2017-07-07 19:40:52.362","2017-07-07 19:42:47.995","115.632930",10450,31,1,2,"0.268089722","90.3721805","337.0967741935484",2,0,0,2,31
"104.113.70.113","192.168.10.17","2017-07-07 17:22:18.531","2017-07-07 17:24:14.359","115.827927",361,17,1,2,"0.146769440","3.11669223","21.235294117647058",2,0,0,2,17
"104.117.102.33","192.168.10.50","2017-07-07 18:56:46.743","2017-07-07 19:14:57.098","1090.355030",118200,45738,5904,1,"41.94780483","108.4050577","2.5842844024662206",2,0,0,5910,39828
"104.118.220.130","192.168.10.15","2017-07-07 19:40:43.593","2017-07-07 19:42:39.011","115.417128",109844,77,1,2,"0.667145349","951.713165","1426.5454545454545",2,0,0,2,77
"104.118.220.45","192.168.10.8","2017-07-07 17:25:36.569","2017-07-07 17:27:34.619","118.050730",118839,115,2,5,"0.974157466","1006.67738","1033.3826086956522",3,0,0,5,115
"104.118.223.29","192.168.10.15","2017-07-07 19:40:43.698","2017-07-07 19:42:43.293","119.594864",314195,209,1,6,"1.74756669","2627.16132","1503.3253588516745",2,0,0,6,209
"104.118.242.135","192.168.10.8","2017-07-07 17:30:48.166","2017-07-07 17:32:43.803","115.636345",39274,44,1,2,"0.380503206","339.633703","892.5909090909091",2,0,0,2,44
"104.130.4.225","192.168.10.12","2017-07-07 17:39:08.209","2017-07-07 17:39:14.239","6.029550",13124,17,1,2,"2.819448","2176.613",772,2,0,0,2,17
"104.130.4.225","192.168.10.15","2017-07-07 17:55:43.198","2017-07-07 17:55:48.391","5.192454",7617,10,1,1,"1.925872","1466.936","761.7",2,0,0,1,10
"104.152.141.70","192.168.10.15","2017-07-07 17:39:30.703","2017-07-07 17:39:31.104","0.400597",6450,10,1,1,"24.9627","16101.0",645,2,0,0,1,10
"104.152.142.68","192.168.10.16","2017-07-07 17:18:46.397","2017-07-07 17:18:46.587","0.190559",342,3,1,1,"15.7431","1794.72",114,2,1,0,1,3
"104.154.79.29","192.168.10.15","2017-07-07 20:00:20.076","2017-07-07 20:01:20.726","60.649933",4002,14,1,1,"0.23083290","65.985234","285.85714285714283",2,0,0,1,14
"104.154.79.29","192.168.10.5","2017-07-07 19:14:31.540","2017-07-07 19:15:31.949","60.408936",4002,15,1,1,"0.24830763","66.248477","266.8",2,0,0,1,15
"104.155.59.61","192.168.10.16","2017-07-07 18:15:26.669","2017-07-07 18:17:08.911","102.242332",22463,49,1,2,"0.479253544","219.703518","458.42857142857144",2,0,0,2,49
"104.16.104.123","192.168.10.16","2017-07-07 17:18:43.943","2017-07-07 17:20:28.767","104.823303",397889,406,2,7,"3.87318457","3795.80674","980.0221674876848",3,0,0,7,406
"104.16.108.123","192.168.10.16","2017-07-07 17:18:46.319","2017-07-07 17:19:32.361","46.041981",2300,27,1,3,"0.58642134","49.954410","85.18518518518519",2,0,0,3,27
"104.16.122.175","192.168.10.15","2017-07-07 17:50:17.697","2017-07-07 17:53:18.414","180.716713",34132,39,1,1,"0.215807378","188.870190","875.1794871794872",2,0,0,1,39
"104.16.124.228","192.168.10.12","2017-07-07 19:05:35.032","2017-07-07 19:13:00.434","445.402477",5060,39,1,2,"0.0875612553","11.3605116","129.74358974358975",2,0,0,2,39
"104.16.124.228","192.168.10.5","2017-07-07 17:00:12.632","2017-07-07 17:16:42.761","990.128303",10085,69,1,4,"0.0696879382","10.1855486","146.15942028985506",2,0,0,4,69
"104.16.124.228","192.168.10.9","2017-07-07 18:33:39.371","2017-07-07 18:35:35.301","115.930319",54694,73,1,2,"0.629688599","471.783400","749.2328767123288",2,0,0,2,73
"104.16.127.51","192.168.10.5","2017-07-07 18:49:22.136","2017-07-07 18:51:18.498","116.361972",4492468,2872,1,6,"24.6816030","38607.6991","1564.2298050139275",2,0,0,6,2872
"104.16.128.61","192.168.10.16","2017-07-07 18:26:13.970","2017-07-07 18:29:18.706","184.736301",1597719,1160,1,1,"6.27922067","8648.64669","1377.3439655172415",2,0,0,1,1160
"104.16.129.61","192.168.10.16","2017-07-07 18:26:14.668","2017-07-07 18:26:17.940","3.271899",11533,26,1,3,"7.946456","3524.864","443.5769230769231",2,0,0,3,26
"104.16.130.61","192.168.10.16","2017-07-07 18:26:14.636","2017-07-07 18:29:19.668","185.031463",73886,84,1,4,"0.453976846","399.315872","879.5952380952381",2,0,0,4,84
"104.16.135.156","192.168.10.15","2017-07-07 18:14:40.213","2017-07-07 18:16:37.115","116.902511",40959,85,1,3,"0.727101577","350.368865","481.8705882352941",2,0,0,3,85
"104.16.139.132","192.168.10.5","2017-07-07 18:05:47.649","2017-07-07 18:08:48.077","180.427705",16042,24,1,1,"0.133017266","88.9109574","668.4166666666666",2,0,0,1,24
"104.16.142.239","192.168.10.15","2017-07-07 17:25:10.280","2017-07-07 17:28:10.861","180.581187",144742,109,1,1,"0.603606620","801.534215","1327.908256880734",2,0,0,1,109
"104.16.142.239","192.168.10.19","2017-07-07 19:55:43.285","2017-07-07 19:58:45.974","182.689521",67461,59,1,1,"0.322952294","369.265843","1143.406779661017",2,0,0,1,59
"104.16.142.239","192.168.10.5","2017-07-07 17:54:10.662","2017-07-07 17:54:10.729","0.067734",11726,20,1,2,"295.27",173118,"586.3",2,0,0,2,20
"104.16.143.239","192.168.10.15","2017-07-07 19:11:18.384","2017-07-07 19:14:19.043","180.659158",12141,29,1,2,"0.160523277","67.2039001","418.6551724137931",2,0,0,2,29
"104.16.143.239","192.168.10.19","2017-07-07 19:55:42.607","2017-07-07 19:58:42.974","180.366697",99753,81,1,1,"0.449085121","553.056643","1231.5185185185185",2,0,0,1,81
"104.16.143.239","192.168.10.5","2017-07-07 17:54:10.157","2017-07-07 17:57:19.188","189.031173",162683,125,1,2,"0.661266594","860.614667","1301.464",2,0,0,2,125
"104.16.16.35","192.168.10.8","2017-07-07 17:00:19.453","2017-07-07 17:01:06.568","47.115172",165196,122,1,3,"2.5893994","3506.2166","1354.0655737704917",2,0,0,3,122
"104.16.160.13","192.168.10.14","2017-07-07 19:58:57.364","2017-07-07 20:01:58.547","181.182984",32957,38,1,1,"0.209732720","181.898980","867.2894736842105",2,0,0,1,38
"104.16.160.13","192.168.10.15","2017-07-07 18:37:59.746","2017-07-07 18:38:46.565","46.819290",29202,38,1,2,"0.81163127","623.71727","768.4736842105264",2,0,0,2,38
"104.16.18.35","192.168.10.17","2017-07-07 17:50:35.787","2017-07-07 17:51:24.507","48.720145",221281,156,1,2,"3.2019609","4541.8789","1418.4679487179487",2,0,0,2,156
"104.16.18.35","192.168.10.19","2017-07-07 19:55:41.710","2017-07-07 19:58:46.975","185.265743",235286,182,1,2,"0.982372656","1269.99194","1292.7802197802198",2,0,0,2,182
"104.16.20.18","192.168.10.12","2017-07-07 18:25:21.729","2017-07-07 18:25:21.794","0.065064",6819,11,1,1,"169.06",104805,"619.9090909090909",2,0,0,1,11
"104.16.20.35","192.168.10.15","2017-07-07 17:50:17.406","2017-07-07 17:51:06.567","49.160703",223544,167,1,3,"3.3970222","4547.2092","1338.5868263473053",2,0,0,3,167
"104.16.20.35","192.168.10.17","2017-07-07 17:00:03.937","2017-07-07 17:00:03.953","0.015563",0,2,1,1,"128.51","0.0000",0,1,0,0,0,2
"104.16.204.165","192.168.10.5","2017-07-07 18:35:26.145","2017-07-07 18:38:27.653","181.507318",3980,16,1,1,"0.0881507158","21.9274905","248.75",2,0,0,1,16
"104.16.205.165","192.168.10.16","2017-07-07 17:53:00.234","2017-07-07 17:53:02.296","2.061987",7683,18,1,2,"8.729444","3726.018","426.8333333333333",2,0,0,2,18
"104.16.205.165","192.168.10.9","2017-07-07 19:53:04.792","2017-07-07 19:56:06.144","181.352159",8816,31,1,2,"0.170938136","48.6126002","284.38709677419354",2,0,0,2,31
"104.16.206.165","192.168.10.15","2017-07-07 18:59:35.631","2017-07-07 19:02:38.493","182.862401",72291,72,1,2,"0.393738678","395.330038","1004.0416666666666",2,0,0,2,72
"104.16.206.165","192.168.10.5","2017-07-07 18:27:26.152","2017-07-07 18:27:26.437","0.284971",7685,18,1,2,"63.1643","26967.7","426.94444444444446",2,0,0,2,18
"104.16.207.165","192.168.10.12","2017-07-07 17:23:44.169","2017-07-07 17:26:44.965","180.795464",8741,30,1,2,"0.165933367","48.3474520","291.3666666666667",2,0,0,2,30
"104.16.207.165","192.168.10.5","2017-07-07 18:27:24.948","2017-07-07 18:30:26.688","181.739497",68455,62,1,1,"0.341147637","376.665508","1104.1129032258063",2,0,0,1,62
"104.16.207.165","192.168.10.9","2017-07-07 18:36:15.761","2017-07-07 18:38:13.124","117.363004",3932,11,1,1,"0.0937262990","33.5028916","357.45454545454544",2,0,0,1,11
"104.16.208.165","192.168.10.15","2017-07-07 18:59:37.671","2017-07-07 18:59:39.535","1.863552",3842,8,1,1,"4.292877","2061.654","480.25",2,0,0,1,8
"104.16.208.165","192.168.10.16","2017-07-07 17:52:59.432","2017-07-07 17:56:00.513","181.080447",4783,18,1,1,"0.0994033332","26.4136746","265.72222222222223",2,0,0,1,18
"104.16.208.165","192.168.10.9","2017-07-07 18:28:14.499","2017-07-07 18:31:16.036","181.537122",80108,84,1,4,"0.462715279","441.276137","953.6666666666666",2,0,0,4,84
"104.16.21.18","192.168.10.12","2017-07-07 18:25:21.291","2017-07-07 18:28:27.432","186.141556",82137,87,1,2,"0.467386229","441.260951","944.1034482758621",2,0,0,2,87
"104.16.21.35","192.168.10.15","2017-07-07 17:11:56.108","2017-07-07 17:15:04.547","188.439357",147506,124,1,2,"0.658036633","782.777029","1189.5645161290322",2,0,0,2,124
"104.16.22.35","192.168.10.5","2017-07-07 17:54:18.012","2017-07-07 17:54:18.107","0.094689",7516,17,1,2,"179.54",79376,"442.11764705882354",2,0,0,2,17
"104.16.22.35","192.168.10.8","2017-07-07 18:05:27.037","2017-07-07 18:08:30.922","183.884707",241791,199,1,4,"1.08219984","1314.90543","1215.0301507537688",2,0,0,4,199
"104.16.23.235","192.168.10.15","2017-07-07 17:50:19.432","2017-07-07 17:51:05.499","46.067533",1383,11,1,2,"0.23877988","30.021143","125.72727272727273",2,0,0,2,11
"104.16.23.235","192.168.10.17","2017-07-07 18:27:47.002","2017-07-07 18:27:47.089","0.086408",4274,10,1,1,"115.73",49463,"427.4",2,0,0,1,10
"104.16.23.235","192.168.10.19","2017-07-07 19:56:46.719","2017-07-07 19:59:47.744","181.025391",4894,15,1,1,"0.0828613043","27.0348816","326.26666666666665",2,0,0,1,15
"104.16.23.235","192.168.10.5","2017-07-07 18:27:34.006","2017-07-07 18:33:24.521","350.515467",8705,33,1,2,"0.0941470580","24.8348527","263.7878787878788",2,0,0,2,33
"104.16.23.235","192.168.10.8","2017-07-07 17:00:20.553","2017-07-07 18:07:26.134","4025.580780",8943,38,2,4,"0.009439631714","2.221542801","235.3421052631579",3,0,0,4,38
"104.16.23.235","192.168.10.9","2017-07-07 19:53:09.564","2017-07-07 19:56:10.200","180.636237",8756,35,1,2,"0.193759572","48.4731089","250.17142857142858",2,0,0,2,35
"104.16.23.35","192.168.10.17","2017-07-07 17:00:03.869","2017-07-07 17:00:03.884","0.015367",0,2,1,1,"130.15","0.0000",0,1,0,0,0,2
"104.16.23.35","192.168.10.5","2017-07-07 19:32:28.500","2017-07-07 19:35:31.444","182.943371",143775,101,1,1,"0.552083409","785.898932","1423.5148514851485",2,0,0,1,101
"104.16.24.216","192.168.10.14","2017-07-07 19:22:58.588","2017-07-07 19:32:41.105","582.516950",8555,21,1,2,"0.0360504531","14.6862679","407.3809523809524",2,0,0,2,21
"104.16.24.216","192.168.10.15","2017-07-07 19:50:35.749","2017-07-07 19:56:09.618","333.868672",14843,49,1,6,"0.146764294","44.4576004","302.9183673469388",2,0,0,6,49
"104.16.24.216","192.168.10.17","2017-07-07 17:50:32.895","2017-07-07 18:49:12.921","3520.025504",6394,28,1,3,"0.007954487820","1.816464112","228.35714285714286",2,0,0,3,28
"104.16.24.216","192.168.10.19","2017-07-07 17:41:40.752","2017-07-07 18:57:54.724","4573.972369",8430,23,1,2,"0.005028451889","1.843036932","366.5217391304348",2,0,0,2,23
"104.16.24.216","192.168.10.5","2017-07-07 19:45:57.034","2017-07-07 19:56:45.818","648.783978",23612,84,1,11,"0.129472988","36.3942403","281.0952380952381",2,0,0,11,84
"104.16.24.216","192.168.10.8","2017-07-07 17:20:29.651","2017-07-07 17:26:30.646","360.995097",15041,51,1,6,"0.141276157","41.6653858","294.921568627451",2,0,0,6,51
"104.16.24.235","192.168.10.15","2017-07-07 17:12:03.905","2017-07-07 17:15:04.547","180.641587",8280,30,1,2,"0.166074715","45.8366212",276,2,0,0,2,30
"104.16.24.235","192.168.10.17","2017-07-07 17:00:03.068","2017-07-07 17:51:24.497","3081.428471",1095,12,1,2,"0.003894297762","0.3553546708","91.25",2,0,0,1,12
"104.16.24.235","192.168.10.19","2017-07-07 19:55:45.726","2017-07-07 19:58:46.976","181.249846",5479,17,1,1,"0.0937931831","30.2289912","322.29411764705884",2,0,0,1,17
"104.16.24.235","192.168.10.8","2017-07-07 17:41:29.052","2017-07-07 17:44:29.403","180.350852",9461,29,1,2,"0.160797688","52.4588595","326.2413793103448",2,0,0,2,29
"104.16.25.216","192.168.10.12","2017-07-07 18:21:36.139","2017-07-07 19:27:51.610","3975.470866",10737,38,1,5,"0.009558616144","2.700812146","282.55263157894734",2,0,0,5,38
"104.16.25.216","192.168.10.14","2017-07-07 19:58:54.639","2017-07-07 19:59:44.881","50.241807",4236,11,1,1,"0.21894117","84.312254","385.09090909090907",2,0,0,1,11
"104.16.25.216","192.168.10.16","2017-07-07 18:18:11.431","2017-07-07 18:31:50.980","819.548573",10763,58,1,9,"0.0707706680","13.1328397","185.56896551724137",2,0,0,9,58
"104.16.25.216","192.168.10.17","2017-07-07 17:06:09.976","2017-07-07 17:07:04.394","54.417600",8596,18,1,2,"0.33077534","157.96360","477.55555555555554",2,0,0,2,18
"104.16.25.216","192.168.10.19","2017-07-07 17:33:56.785","2017-07-07 17:57:59.110","1442.324663",17015,42,1,4,"0.02911965736","11.79692786","405.1190476190476",2,0,0,4,42
"104.16.25.216","192.168.10.5","2017-07-07 19:19:00.449","2017-07-07 19:28:45.350","584.901025",15067,59,1,8,"0.100871767","25.7599138","255.3728813559322",2,0,0,8,59
"104.16.25.216","192.168.10.8","2017-07-07 18:29:53.971","2017-07-07 19:09:08.941","2354.970031",8504,32,1,4,"0.01358828332","3.611086293","265.75",2,0,0,4,32
"104.16.25.216","192.168.10.9","2017-07-07 18:12:08.328","2017-07-07 18:37:35.153","1526.824941",15031,74,1,9,"0.04846659104","9.844612566","203.1216216216216",2,0,0,9,74
"104.16.25.235","192.168.10.12","2017-07-07 17:23:45.689","2017-07-07 17:26:45.900","180.211250",4191,15,1,1,"0.0832356470","23.2560398","279.4",2,0,0,1,15
"104.16.25.235","192.168.10.15","2017-07-07 17:12:03.905","2017-07-07 20:01:06.089","10142.183327",9615,48,2,5,"0.0047327087720","0.94802072589","200.3125",3,0,0,5,48
"104.16.25.235","192.168.10.17","2017-07-07 17:00:03.099","2017-07-07 17:51:24.468","3081.369242",1397,11,1,2,"0.003569841566","0.4533698788",127,2,0,0,1,11
"104.16.25.235","192.168.10.5","2017-07-07 19:32:30.538","2017-07-07 19:35:31.444","180.905630",4264,16,1,1,"0.0884439031","23.5703002","266.5",2,0,0,1,16
"104.16.25.235","192.168.10.8","2017-07-07 18:05:29.092","2017-07-07 18:08:30.921","181.828524",8272,29,1,2,"0.159490928","45.4934122","285.2413793103448",2,0,0,2,29
"104.16.25.235","192.168.10.9","2017-07-07 18:28:24.156","2017-07-07 18:31:27.131","182.974571",4816,21,1,1,"0.114770046","26.3205973","229.33333333333334",2,0,0,1,21
"104.16.250.39","192.168.10.15","2017-07-07 18:59:33.431","2017-07-07 19:01:36.058","122.627039",283015,339,1,6,"2.76448002","2307.93308","834.8525073746313",2,0,0,6,339
"104.16.251.39","192.168.10.15","2017-07-07 18:59:35.800","2017-07-07 19:01:49.376","133.576296",1155144,911,1,6,"6.82007232","8647.82176","1267.9956092206367",2,0,0,6,911
"104.16.251.39","192.168.10.16","2017-07-07 17:52:57.105","2017-07-07 17:55:00.485","123.380503",1458784,1271,1,12,"10.3014655","11823.4564","1147.7450826121164",2,0,0,12,1271
"104.16.254.60","192.168.10.16","2017-07-07 18:26:14.106","2017-07-07 18:26:14.287","0.180737",3843,9,1,1,"49.7961","21262.9",427,2,0,0,1,9
"104.16.26.216","192.168.10.14","2017-07-07 18:58:18.429","2017-07-07 18:59:04.463","46.034743",2149,10,1,1,"0.21722724","46.682133","214.9",2,0,0,1,10
"104.16.26.216","192.168.10.15","2017-07-07 17:55:39.433","2017-07-07 18:15:36.612","1197.178939",25398,63,1,6,"0.05262371226","21.21487371","403.14285714285717",2,0,0,6,63
"104.16.26.216","192.168.10.16","2017-07-07 19:13:38.628","2017-07-07 19:13:48.836","10.208233",27919,31,1,3,"3.0367646","2734.9494","900.6129032258065",2,0,0,3,31
"104.16.26.216","192.168.10.17","2017-07-07 17:37:02.969","2017-07-07 17:37:50.718","47.748953",6379,11,1,1,"0.23037154","133.59455","579.9090909090909",2,0,0,1,11
"104.16.26.216","192.168.10.19","2017-07-07 17:14:46.419","2017-07-07 17:15:34.185","47.766070",4298,10,1,1,"0.20935363","89.980189","429.8",2,0,0,1,10
"104.16.26.216","192.168.10.5","2017-07-07 18:45:42.679","2017-07-07 19:10:06.276","1463.597748",6416,28,1,5,"0.01913093952","4.383718142","229.14285714285714",2,0,0,5,28
"104.16.26.235","192.168.10.15","2017-07-07 17:50:22.654","2017-07-07 18:09:03.959","1121.305574",11543,48,2,4,"0.04280724284","10.29425009","240.47916666666666",3,0,0,4,48
"104.16.26.235","192.168.10.19","2017-07-07 19:55:45.726","2017-07-07 19:59:46.744","241.017770",5642,19,1,1,"0.0788323616","23.4090623","296.94736842105266",2,0,0,1,19
"104.16.26.235","192.168.10.5","2017-07-07 17:54:17.884","2017-07-07 19:34:26.442","6008.558807",12886,48,1,3,"0.007988604513","2.144607453","268.4583333333333",2,0,0,3,48
"104.16.26.35","192.168.10.50","2017-07-07 19:00:40.102","2017-07-07 19:08:18.780","458.677672",200040,77013,10000,1,"167.902221","436.123256","2.5974835417397064",2,0,0,10000,67012
"104.16.27.216","192.168.10.12","2017-07-07 17:39:05.909","2017-07-07 19:00:51.107","4905.198409",25466,114,1,12,"0.02324065012","5.191635053","223.3859649122807",2,0,0,12,114
"104.16.27.216","192.168.10.15","2017-07-07 17:29:41.071","2017-07-07 17:30:27.107","46.035510",2149,13,1,2,"0.28239070","46.681355","165.30769230769232",2,0,0,2,13
"104.16.27.216","192.168.10.16","2017-07-07 17:53:10.158","2017-07-07 18:05:28.619","738.460499",12722,46,1,6,"0.0622917543","17.2277326","276.5652173913044",2,0,0,6,46
"104.16.27.216","192.168.10.8","2017-07-07 18:27:28.958","2017-07-07 18:28:15.098","46.140291",10480,41,1,5,"0.88859431","227.13337","255.609756097561",2,0,0,5,41
"104.16.27.216","192.168.10.9","2017-07-07 17:19:58.592","2017-07-07 19:32:17.311","7938.718429",47193,112,1,10,"0.01410807059","5.944662281","421.36607142857144",2,0,0,10,112
"104.16.27.235","192.168.10.14","2017-07-07 19:40:59.153","2017-07-07 19:43:59.535","180.382160",8137,23,1,2,"0.127507066","45.1097825","353.7826086956522",2,0,0,2,23
"104.16.27.235","192.168.10.5","2017-07-07 17:54:17.856","2017-07-07 19:15:17.527","4859.671783",9327,36,2,4,"0.007407907696","1.919265419","259.0833333333333",3,0,0,4,36
"104.16.27.235","192.168.10.8","2017-07-07 19:35:24.260","2017-07-07 19:36:10.318","46.058032",930,10,1,1,"0.21711740","20.191918",93,2,0,0,1,10
"104.16.27.35","192.168.10.5","2017-07-07 17:54:09.208","2017-07-07 19:32:30.837","5901.629215",241345,187,1,4,"0.03168616550","40.89463963","1290.614973262032",2,0,0,4,187
"104.16.28.216","192.168.10.15","2017-07-07 18:59:43.696","2017-07-07 19:43:13.726","2610.029773",8577,26,1,5,"0.009961572189","3.286169410","329.88461538461536",2,0,0,5,26
"104.16.28.216","192.168.10.16","2017-07-07 17:34:56.770","2017-07-07 17:35:42.829","46.058928",10590,50,1,6,"1.0855659","229.92285","211.8",2,0,0,6,50
"104.16.28.216","192.168.10.17","2017-07-07 17:14:06.019","2017-07-07 19:56:40.902","9754.882787",6379,23,1,3,"0.002357793579","0.6539289235","277.3478260869565",2,0,0,3,23
"104.16.28.216","192.168.10.25","2017-07-07 17:24:39.952","2017-07-07 17:24:39.998","0.046456",2113,7,1,1,"150.68",45484,"301.85714285714283",2,0,0,1,7
"104.16.28.216","192.168.10.5","2017-07-07 18:16:37.603","2017-07-07 18:31:16.654","879.050064",34106,94,1,11,"0.106933614","38.7987003","362.82978723404256",2,0,0,11,94
"104.16.28.216","192.168.10.8","2017-07-07 18:05:32.987","2017-07-07 18:11:14.323","341.336102",6453,32,1,5,"0.0937492396","18.9051201","201.65625",2,0,0,5,32
"104.16.28.216","192.168.10.9","2017-07-07 19:36:55.518","2017-07-07 19:43:12.033","376.515850",27725,68,1,8,"0.180603287","73.6356783","407.72058823529414",2,0,0,8,68
"104.16.28.27","192.168.10.19","2017-07-07 18:14:23.416","2017-07-07 18:17:32.443","189.027348",914943,698,1,1,"3.69258738","4840.26787","1310.8065902578796",2,0,0,1,698
"104.16.3.9","192.168.10.19","2017-07-07 17:45:31.195","2017-07-07 17:48:31.353","180.158786",8285,17,1,1,"0.0943612042","45.9872104","487.3529411764706",2,0,0,1,17
"104.16.32.229","192.168.10.12","2017-07-07 19:00:04.848","2017-07-07 19:02:00.545","115.696647",37125,44,1,1,"0.380304885","320.882247","843.75",2,0,0,1,44
"104.16.37.83","192.168.10.15","2017-07-07 17:50:22.632","2017-07-07 17:51:08.778","46.145989",338,12,1,2,"0.26004427","7.3245802","28.166666666666668",2,0,0,2,12
"104.16.38.14","192.168.10.15","2017-07-07 17:55:46.101","2017-07-07 18:18:07.630","1341.529456",346329,267,1,3,"0.1990265654","258.1598179","1297.112359550562",2,0,0,3,267
"104.16.39.14","192.168.10.12","2017-07-07 17:39:10.935","2017-07-07 17:50:43.686","692.751049",233535,182,1,3,"0.262720641","337.112445","1283.1593406593406",2,0,0,3,182
"104.16.4.3","192.168.10.14","2017-07-07 19:09:27.265","2017-07-07 19:12:28.681","181.415852",34789,44,2,4,"0.242536688","191.763838","790.6590909090909",3,0,0,4,44
"104.16.4.3","192.168.10.8","2017-07-07 18:25:01.497","2017-07-07 18:28:02.230","180.733190",41526,58,2,5,"0.320915046","229.764107","715.9655172413793",3,0,0,5,58
"104.16.65.157","192.168.10.12","2017-07-07 19:00:10.317","2017-07-07 19:02:05.552","115.234906",4057,26,1,1,"0.225626079","35.2063462","156.03846153846155",2,0,0,1,26
"104.16.65.226","192.168.10.16","2017-07-07 18:23:34.096","2017-07-07 18:25:30.780","116.684630",10576,41,1,2,"0.351374470","90.6374731","257.9512195121951",2,0,0,2,41
"104.16.67.157","192.168.10.9","2017-07-07 18:33:43.882","2017-07-07 18:35:39.340","115.458544",8109,40,1,2,"0.346444694","70.2330007","202.725",2,0,0,2,40
"104.16.71.45","192.168.10.19","2017-07-07 18:14:29.071","2017-07-07 18:17:30.442","181.371165",5991,17,1,1,"0.0937304449","33.0317115","352.4117647058824",2,0,0,1,17
"104.16.75.39","192.168.10.19","2017-07-07 17:18:33.936","2017-07-07 17:21:38.805","184.868605",156100,121,1,1,"0.654518922","844.383502","1290.0826446280992",2,0,0,1,121
"104.16.83.211","192.168.10.16","2017-07-07 18:23:33.630","2017-07-07 18:25:28.778","115.147809",28440,37,1,2,"0.321326131","246.986897","768.6486486486486",2,0,0,2,37
"104.16.83.55","192.168.10.17","2017-07-07 18:23:36.005","2017-07-07 18:37:38.005","841.999504",5965,24,1,2,"0.0285035797","7.08432721","248.54166666666666",2,0,0,2,24
