"start_time","finish_time","src_ip","dst_ip","total_bytes","total_common_protocols","total_src_ports","total_dst_ports","total_http_errors","total_failures",duration
"2017-07-03 12:38:53.948","2017-07-03 12:38:59.249","104.130.4.225","192.168.10.5",7617,0,1,1,0,0,"5.300820"
"2017-07-03 13:18:02.600","2017-07-03 13:18:12.650","104.131.71.216","192.168.10.51",869,0,1,2,0,0,"10.050138"
"2017-07-03 12:15:33.456","2017-07-03 12:15:33.911","104.152.141.70","192.168.10.14",6450,0,1,1,0,0,"0.455243"
"2017-07-03 12:51:41.709","2017-07-03 12:51:43.590","104.152.141.70","192.168.10.16",6450,0,1,1,0,0,"1.880576"
"2017-07-03 14:08:40.560","2017-07-03 14:08:45.923","104.152.141.70","192.168.10.9",13022,0,1,2,0,0,"5.362591"
"2017-07-03 12:51:39.764","2017-07-03 12:51:40.982","104.152.141.97","192.168.10.16",6217,0,1,1,0,0,"1.217143"
"2017-07-03 13:49:34.472","2017-07-03 13:49:34.876","104.152.141.98","192.168.10.51",6086,0,1,1,0,0,"0.404239"
"2017-07-03 14:02:28.493","2017-07-03 14:02:28.647","104.154.148.163","192.168.10.25",20351,0,1,1,0,0,"0.153466"
"2017-07-03 12:24:17.841","2017-07-03 12:24:40.783","104.154.73.75","192.168.10.5",12951,0,1,2,0,0,"22.942544"
"2017-07-03 12:47:39.478","2017-07-03 12:47:54.842","104.154.73.75","192.168.10.51",6781,0,1,1,0,0,"15.364460"
"2017-07-03 13:25:58.281","2017-07-03 14:41:06.799","104.154.79.29","192.168.10.5",7973,0,1,2,0,0,"4508.518635"
"2017-07-03 12:19:41.715","2017-07-03 12:20:43.187","104.154.79.29","192.168.10.51",4015,0,1,1,0,0,"61.471417"
"2017-07-03 12:45:09.586","2017-07-03 12:45:09.724","104.155.51.226","192.168.10.19",0,0,0,0,0,0,"0.138006"
"2017-07-03 12:58:34.206","2017-07-03 13:00:30.944","104.155.59.61","192.168.10.51",8852,0,1,1,0,0,"116.738774"
"2017-07-03 12:39:58.547","2017-07-03 12:41:53.709","104.16.110.18","192.168.10.14",5593,0,1,1,0,0,"115.161982"
"2017-07-03 13:54:39.003","2017-07-03 13:57:40.333","104.16.124.175","192.168.10.14",34160,0,1,1,0,0,"181.330360"
"2017-07-03 13:47:34.231","2017-07-03 13:49:30.437","104.16.124.228","192.168.10.16",60308,0,1,3,0,0,"116.206343"
"2017-07-03 14:51:36.792","2017-07-03 14:51:46.780","104.16.124.228","192.168.10.5",747,0,1,1,0,0,"9.987372"
"2017-07-03 13:53:04.720","2017-07-03 13:59:36.692","104.16.125.228","192.168.10.16",5134,0,1,2,0,0,"391.972303"
"2017-07-03 12:51:44.903","2017-07-03 13:02:56.651","104.16.126.228","192.168.10.16",49907,0,1,4,0,0,"671.747695"
"2017-07-03 14:40:35.736","2017-07-03 14:40:36.768","104.16.126.228","192.168.10.5",747,0,1,1,0,0,"1.031915"
"2017-07-03 12:15:28.712","2017-07-03 12:33:55.471","104.16.127.228","192.168.10.14",51011,0,1,5,0,0,"1106.758998"
"2017-07-03 12:42:38.327","2017-07-03 12:48:08.477","104.16.14.15","192.168.10.5",240545,0,1,6,0,0,"330.149126"
"2017-07-03 12:42:36.677","2017-07-03 12:47:40.741","104.16.15.15","192.168.10.5",13502,0,1,2,0,0,"304.064103"
"2017-07-03 12:30:54.973","2017-07-03 12:32:50.873","104.16.154.6","192.168.10.15",1108389,0,2,7,0,0,"115.899403"
"2017-07-03 12:42:38.645","2017-07-03 12:43:25.594","104.16.163.13","192.168.10.16",29202,0,1,2,0,0,"46.949083"
"2017-07-03 12:15:36.330","2017-07-03 12:34:36.614","104.16.165.179","192.168.10.16",11033577,0,1,8,0,0,"1140.284137"
"2017-07-03 14:31:55.284","2017-07-03 14:32:54.674","104.16.165.179","192.168.10.5",9512299,0,1,15,0,0,"59.389194"
"2017-07-03 12:42:38.982","2017-07-03 12:47:40.740","104.16.17.15","192.168.10.5",62268,0,1,4,0,0,"301.758218"
"2017-07-03 14:13:57.377","2017-07-03 14:18:57.723","104.16.2.9","192.168.10.5",116679,0,1,3,0,0,"300.346006"
"2017-07-03 13:10:56.701","2017-07-03 13:11:43.739","104.16.20.35","192.168.10.5",138104,0,1,2,0,0,"47.037601"
"2017-07-03 14:25:31.776","2017-07-03 14:28:32.411","104.16.20.35","192.168.10.51",152628,0,1,1,0,0,"180.635340"
"2017-07-03 12:54:40.228","2017-07-03 13:02:42.891","104.16.205.165","192.168.10.16",7826,0,1,2,0,0,"482.662582"
"2017-07-03 12:54:41.741","2017-07-03 12:54:42.442","104.16.207.165","192.168.10.16",7688,0,1,2,0,0,"0.701170"
"2017-07-03 12:22:27.464","2017-07-03 12:25:28.207","104.16.207.165","192.168.10.51",67927,0,1,1,0,0,"180.743027"
"2017-07-03 12:54:36.962","2017-07-03 12:57:41.853","104.16.208.165","192.168.10.16",73032,0,1,2,0,0,"184.891287"
"2017-07-03 12:24:03.593","2017-07-03 12:25:35.312","104.16.208.165","192.168.10.25",68562,0,1,1,0,0,"91.719064"
"2017-07-03 14:15:35.683","2017-07-03 14:17:29.031","104.16.21.35","192.168.10.19",138794,0,1,3,0,0,"113.347423"
"2017-07-03 12:15:33.030","2017-07-03 12:49:17.827","104.16.22.11","192.168.10.14",29460,0,1,5,0,0,"2024.796873"
"2017-07-03 12:51:41.418","2017-07-03 12:54:42.946","104.16.22.11","192.168.10.16",6501,0,1,1,0,0,"181.527815"
"2017-07-03 12:53:08.272","2017-07-03 12:56:08.884","104.16.22.11","192.168.10.51",6186,0,1,1,0,0,"180.612172"
"2017-07-03 12:50:28.169","2017-07-03 12:53:29.997","104.16.22.11","192.168.10.9",12261,0,1,2,0,0,"181.827995"
"2017-07-03 14:48:09.880","2017-07-03 14:49:01.625","104.16.22.35","192.168.10.12",222025,0,1,3,0,0,"51.745124"
"2017-07-03 14:25:32.551","2017-07-03 14:28:33.412","104.16.22.35","192.168.10.51",4595,0,1,1,0,0,"180.861239"
"2017-07-03 12:49:17.173","2017-07-03 12:52:18.638","104.16.23.11","192.168.10.14",16937,0,1,2,0,0,"181.465054"
"2017-07-03 12:51:42.524","2017-07-03 12:51:42.701","104.16.23.11","192.168.10.16",5358,0,1,1,0,0,"0.177575"
"2017-07-03 12:53:08.059","2017-07-03 12:56:08.884","104.16.23.11","192.168.10.51",6566,0,1,1,0,0,"180.825221"
"2017-07-03 12:59:47.768","2017-07-03 13:55:30.984","104.16.23.235","192.168.10.14",12247,0,2,8,0,0,"3343.215304"
"2017-07-03 13:10:57.319","2017-07-03 13:11:43.739","104.16.23.235","192.168.10.5",460,0,1,1,0,0,"46.419871"
"2017-07-03 14:48:15.622","2017-07-03 14:49:01.679","104.16.23.35","192.168.10.12",534,0,1,2,0,0,"46.056654"
"2017-07-03 12:59:43.657","2017-07-03 13:02:48.093","104.16.23.35","192.168.10.14",143748,0,1,1,0,0,"184.435101"
"2017-07-03 13:40:15.509","2017-07-03 14:10:13.963","104.16.24.216","192.168.10.12",8565,0,1,3,0,0,"1798.453542"
"2017-07-03 12:06:42.385","2017-07-03 13:33:02.278","104.16.24.216","192.168.10.14",6347,0,1,4,0,0,"5179.893663"
"2017-07-03 14:37:37.616","2017-07-03 14:38:23.656","104.16.24.216","192.168.10.15",2096,0,1,1,0,0,"46.039622"
"2017-07-03 12:24:43.757","2017-07-03 12:30:39.180","104.16.24.216","192.168.10.16",8614,0,1,7,0,0,"355.423072"
"2017-07-03 13:22:31.850","2017-07-03 13:23:28.564","104.16.24.216","192.168.10.19",6339,0,1,1,0,0,"56.713850"
"2017-07-03 13:02:04.798","2017-07-03 13:02:04.858","104.16.24.216","192.168.10.25",2113,0,1,1,0,0,"0.060391"
"2017-07-03 14:44:34.880","2017-07-03 14:45:21.611","104.16.24.216","192.168.10.8",6288,0,1,3,0,0,"46.730479"
"2017-07-03 12:45:58.711","2017-07-03 13:24:26.816","104.16.24.216","192.168.10.9",12864,0,1,4,0,0,"2308.105165"
"2017-07-03 13:54:41.746","2017-07-03 13:55:27.844","104.16.24.235","192.168.10.14",1449,0,1,2,0,0,"46.098354"
"2017-07-03 14:16:42.508","2017-07-03 14:17:28.951","104.16.24.235","192.168.10.19",1116,0,1,1,0,0,"46.443582"
"2017-07-03 12:29:05.250","2017-07-03 13:11:43.739","104.16.24.235","192.168.10.5",5935,0,2,2,0,0,"2558.488686"
"2017-07-03 14:25:32.635","2017-07-03 14:37:39.297","104.16.24.235","192.168.10.51",7028,0,1,3,0,0,"726.662177"
"2017-07-03 14:22:09.536","2017-07-03 14:25:10.134","104.16.24.235","192.168.10.9",4954,0,1,1,0,0,"180.598423"
"2017-07-03 13:54:39.635","2017-07-03 13:55:28.333","104.16.24.35","192.168.10.14",223568,0,1,3,0,0,"48.697805"
"2017-07-03 13:39:31.139","2017-07-03 14:50:42.978","104.16.24.92","192.168.10.25",5543715,0,1,145,0,0,"4271.839644"
"2017-07-03 13:43:35.369","2017-07-03 13:51:06.522","104.16.25.216","192.168.10.12",4224,0,1,2,0,0,"451.152517"
"2017-07-03 12:24:19.844","2017-07-03 12:28:11.511","104.16.25.216","192.168.10.14",10639,0,1,6,0,0,"231.667122"
"2017-07-03 12:49:41.035","2017-07-03 12:50:31.012","104.16.25.216","192.168.10.15",4304,0,1,1,0,0,"49.977455"
"2017-07-03 14:40:49.846","2017-07-03 14:47:01.759","104.16.25.216","192.168.10.16",8572,0,1,5,0,0,"371.913026"
"2017-07-03 13:10:21.607","2017-07-03 13:10:21.643","104.16.25.216","192.168.10.25",2113,0,1,1,0,0,"0.036666"
"2017-07-03 13:25:03.914","2017-07-03 14:35:20.496","104.16.25.216","192.168.10.51",12665,0,1,6,0,0,"4216.582194"
"2017-07-03 13:57:08.764","2017-07-03 14:00:09.382","104.16.25.235","192.168.10.12",4360,0,1,1,0,0,"180.617808"
"2017-07-03 12:51:41.338","2017-07-03 14:03:53.606","104.16.25.235","192.168.10.16",8617,0,2,3,0,0,"4332.267939"
"2017-07-03 14:16:42.508","2017-07-03 14:17:28.912","104.16.25.235","192.168.10.19",1397,0,1,1,0,0,"46.404658"
"2017-07-03 12:22:33.237","2017-07-03 14:28:32.412","104.16.25.235","192.168.10.51",9707,0,1,2,0,0,"7559.174982"
"2017-07-03 12:26:28.731","2017-07-03 12:27:14.945","104.16.25.235","192.168.10.9",1146,0,1,1,0,0,"46.214615"
"2017-07-03 13:10:47.381","2017-07-03 13:13:49.630","104.16.25.4","192.168.10.17",631124,0,1,2,0,0,"182.249372"
"2017-07-03 13:10:19.849","2017-07-03 14:34:32.815","104.16.25.92","192.168.10.25",8341305,0,1,322,0,0,"5052.965243"
"2017-07-03 13:06:30.826","2017-07-03 14:01:31.339","104.16.26.216","192.168.10.12",38582,0,1,10,0,0,"3300.512100"
"2017-07-03 12:33:22.977","2017-07-03 12:34:15.459","104.16.26.216","192.168.10.15",4298,0,1,1,0,0,"52.481536"
"2017-07-03 14:43:29.683","2017-07-03 14:48:10.929","104.16.26.216","192.168.10.19",4192,0,1,3,0,0,"281.245328"
"2017-07-03 13:40:34.024","2017-07-03 14:21:51.548","104.16.26.216","192.168.10.51",10480,0,1,3,0,0,"2477.523995"
"2017-07-03 14:15:02.869","2017-07-03 14:15:48.954","104.16.26.216","192.168.10.8",4298,0,1,3,0,0,"46.085815"
"2017-07-03 13:06:32.226","2017-07-03 14:48:59.570","104.16.26.235","192.168.10.12",2027,0,1,4,0,0,"6147.344275"
"2017-07-03 12:07:01.649","2017-07-03 13:55:30.113","104.16.26.235","192.168.10.14",13617,0,2,5,0,0,"6508.463576"
"2017-07-03 12:16:10.242","2017-07-03 12:19:10.922","104.16.26.235","192.168.10.16",4370,0,1,1,0,0,"180.680281"
"2017-07-03 14:40:32.878","2017-07-03 14:40:36.774","104.16.26.235","192.168.10.5",4853,0,1,1,0,0,"3.895744"
"2017-07-03 12:47:36.178","2017-07-03 12:48:22.237","104.16.26.235","192.168.10.9",1420,0,1,2,0,0,"46.058597"
"2017-07-03 14:16:42.437","2017-07-03 14:17:29.044","104.16.26.35","192.168.10.19",83177,0,1,1,0,0,"46.606380"
"2017-07-03 13:02:03.652","2017-07-03 14:50:14.454","104.16.26.92","192.168.10.25",9275131,0,1,169,0,0,"6490.801714"
"2017-07-03 14:39:41.113","2017-07-03 14:43:24.647","104.16.27.216","192.168.10.14",14888,0,1,10,0,0,"223.533292"
"2017-07-03 13:08:16.025","2017-07-03 14:13:43.782","104.16.27.216","192.168.10.15",6459,0,1,5,0,0,"3927.756763"
"2017-07-03 13:11:39.612","2017-07-03 14:16:19.381","104.16.27.216","192.168.10.19",10484,0,1,7,0,0,"3879.768949"
"2017-07-03 14:50:02.075","2017-07-03 14:50:48.108","104.16.27.216","192.168.10.51",2149,0,1,1,0,0,"46.033601"
"2017-07-03 13:55:03.452","2017-07-03 14:07:54.419","104.16.27.216","192.168.10.8",30061,0,1,8,0,0,"770.966849"
"2017-07-03 13:14:42.722","2017-07-03 13:15:28.795","104.16.27.216","192.168.10.9",6461,0,1,5,0,0,"46.072824"
"2017-07-03 14:48:13.491","2017-07-03 14:48:59.534","104.16.27.235","192.168.10.12",1187,0,1,2,0,0,"46.042565"
"2017-07-03 13:25:57.759","2017-07-03 13:26:53.730","104.16.27.235","192.168.10.5",742,0,1,1,0,0,"55.970992"
"2017-07-03 12:19:41.418","2017-07-03 14:29:33.412","104.16.27.235","192.168.10.51",5907,0,2,2,0,0,"7791.993109"
"2017-07-03 13:17:36.106","2017-07-03 14:26:11.439","104.16.27.92","192.168.10.25",14788677,0,1,174,0,0,"4115.333398"
"2017-07-03 12:07:05.595","2017-07-03 13:16:50.492","104.16.28.216","192.168.10.12",34377,0,1,14,0,0,"4184.896933"
"2017-07-03 12:51:43.467","2017-07-03 13:48:19.728","104.16.28.216","192.168.10.16",17142,0,1,12,0,0,"3396.260593"
"2017-07-03 12:24:13.449","2017-07-03 12:35:34.321","104.16.28.216","192.168.10.17",6379,0,1,3,0,0,"680.872282"
"2017-07-03 12:39:46.056","2017-07-03 12:40:32.095","104.16.28.216","192.168.10.51",2096,0,1,2,0,0,"46.038893"
"2017-07-03 13:41:33.801","2017-07-03 13:42:19.882","104.16.28.216","192.168.10.8",2137,0,1,2,0,0,"46.080453"
"2017-07-03 14:12:03.895","2017-07-03 14:26:28.680","104.16.28.216","192.168.10.9",15043,0,1,8,0,0,"864.784747"
"2017-07-03 14:02:03.740","2017-07-03 14:17:32.777","104.16.28.92","192.168.10.25",3065218,0,1,28,0,0,"929.037489"
"2017-07-03 14:13:58.424","2017-07-03 14:15:53.699","104.16.3.9","192.168.10.12",16984,0,1,3,0,0,"115.275199"
"2017-07-03 12:40:00.225","2017-07-03 12:40:05.686","104.16.3.9","192.168.10.14",8740,0,1,2,0,0,"5.461140"
"2017-07-03 12:45:38.134","2017-07-03 12:45:44.095","104.16.3.9","192.168.10.16",8740,0,1,2,0,0,"5.961130"
"2017-07-03 12:42:41.738","2017-07-03 12:47:41.892","104.16.3.9","192.168.10.5",17867,0,1,1,0,0,"300.154331"
"2017-07-03 14:04:00.578","2017-07-03 14:04:46.761","104.16.3.92","192.168.10.8",85418,0,1,2,0,0,"46.183002"
"2017-07-03 14:35:04.496","2017-07-03 14:46:16.770","104.16.32.229","192.168.10.5",59594,0,1,3,0,0,"672.273738"
"2017-07-03 13:54:44.700","2017-07-03 13:55:30.755","104.16.36.83","192.168.10.14",338,0,1,2,0,0,"46.055940"
"2017-07-03 12:39:03.645","2017-07-03 14:40:26.780","104.16.38.14","192.168.10.5",672889,0,1,7,0,0,"7283.134490"
"2017-07-03 12:49:28.145","2017-07-03 14:50:36.786","104.16.39.14","192.168.10.5",657957,0,1,8,0,0,"7268.640972"
"2017-07-03 13:58:34.915","2017-07-03 14:01:35.784","104.16.52.4","192.168.10.51",25653,0,2,4,0,0,"180.868866"
"2017-07-03 13:28:25.007","2017-07-03 13:30:20.714","104.16.52.4","192.168.10.8",26334,0,1,4,0,0,"115.707576"
"2017-07-03 13:40:14.622","2017-07-03 13:42:11.011","104.16.61.226","192.168.10.12",15058,0,1,3,0,0,"116.388850"
"2017-07-03 13:58:35.311","2017-07-03 13:59:21.346","104.16.64.54","192.168.10.51",685,0,1,2,0,0,"46.034149"
"2017-07-03 13:28:25.812","2017-07-03 13:30:21.728","104.16.64.54","192.168.10.8",6920,0,1,1,0,0,"115.916330"
"2017-07-03 12:15:31.271","2017-07-03 12:17:26.951","104.16.66.157","192.168.10.14",7795,0,1,2,0,0,"115.680580"
"2017-07-03 12:51:45.395","2017-07-03 12:53:41.302","104.16.66.157","192.168.10.16",4003,0,1,1,0,0,"115.907680"
"2017-07-03 13:47:35.398","2017-07-03 13:49:41.451","104.16.67.157","192.168.10.16",10133,0,1,2,0,0,"126.053778"
"2017-07-03 14:35:05.783","2017-07-03 14:35:06.764","104.16.69.157","192.168.10.5",4401,0,1,1,0,0,"0.981665"
"2017-07-03 14:25:55.784","2017-07-03 14:25:55.818","104.16.77.166","192.168.10.5",4158,0,1,1,0,0,"0.033977"
"2017-07-03 14:46:53.500","2017-07-03 14:46:56.772","104.16.78.22","192.168.10.5",71237,0,1,2,0,0,"3.271701"
"2017-07-03 14:46:55.382","2017-07-03 14:47:06.773","104.16.79.22","192.168.10.5",1032883,0,1,7,0,0,"11.391302"
"2017-07-03 13:40:14.197","2017-07-03 13:42:10.009","104.16.81.211","192.168.10.12",28440,0,1,2,0,0,"115.812347"
"2017-07-03 14:03:01.296","2017-07-03 14:06:02.605","104.16.87.26","192.168.10.16",6267,0,1,1,0,0,"181.308952"
"2017-07-03 12:59:31.516","2017-07-03 14:50:36.786","104.16.87.26","192.168.10.5",8193,0,1,2,0,0,"6665.270197"
"2017-07-03 14:03:00.865","2017-07-03 14:03:46.969","104.16.88.26","192.168.10.16",16277,0,1,2,0,0,"46.104019"
"2017-07-03 12:38:58.939","2017-07-03 14:06:42.735","104.16.88.26","192.168.10.5",19123,0,1,2,0,0,"5263.795462"
"2017-07-03 12:48:40.360","2017-07-03 12:50:36.182","104.16.92.65","192.168.10.16",6064,0,1,2,0,0,"115.822394"
"2017-07-03 12:48:38.391","2017-07-03 12:50:34.185","104.16.96.65","192.168.10.16",26774,0,1,1,0,0,"115.794246"
"2017-07-03 13:01:59.864","2017-07-03 13:06:18.652","104.17.103.89","192.168.10.14",6313,0,1,2,0,0,"258.788775"
"2017-07-03 12:54:20.135","2017-07-03 13:01:44.811","104.17.106.89","192.168.10.14",160752,0,1,7,0,0,"444.675571"
"2017-07-03 12:07:03.348","2017-07-03 12:10:10.601","104.17.127.32","192.168.10.12",22047,0,1,1,0,0,"187.252992"
"2017-07-03 13:55:00.741","2017-07-03 13:58:06.900","104.17.129.32","192.168.10.8",19916,0,1,1,0,0,"186.159893"
"2017-07-03 12:34:04.923","2017-07-03 12:37:06.420","104.17.131.32","192.168.10.12",5175,0,1,1,0,0,"181.497069"
"2017-07-03 12:54:44.261","2017-07-03 12:59:52.169","104.17.142.111","192.168.10.16",4911,0,1,2,0,0,"307.908128"
"2017-07-03 12:49:32.199","2017-07-03 12:51:32.059","104.17.227.106","192.168.10.15",1273134,0,1,1,0,0,"119.860183"
"2017-07-03 14:28:54.093","2017-07-03 14:49:16.779","104.17.229.106","192.168.10.5",1237289,0,1,4,0,0,"1222.685897"
"2017-07-03 14:39:08.377","2017-07-03 14:39:16.770","104.17.230.106","192.168.10.5",177975,0,1,1,0,0,"8.393895"
"2017-07-03 12:45:39.230","2017-07-03 12:47:34.419","104.17.239.25","192.168.10.9",894132,0,2,7,0,0,"115.189017"
"2017-07-03 14:13:57.800","2017-07-03 14:15:53.697","104.17.27.15","192.168.10.12",16399,0,1,2,0,0,"115.896869"
"2017-07-03 14:13:55.627","2017-07-03 14:18:57.723","104.17.28.15","192.168.10.5",12970,0,1,1,0,0,"302.095979"
"2017-07-03 12:39:59.405","2017-07-03 12:40:04.686","104.17.29.15","192.168.10.14",3734,0,1,1,0,0,"5.281054"
"2017-07-03 12:45:37.020","2017-07-03 12:45:42.093","104.17.30.15","192.168.10.16",3734,0,1,1,0,0,"5.073024"
"2017-07-03 12:48:39.229","2017-07-03 12:50:35.183","104.17.49.107","192.168.10.16",7500,0,1,1,0,0,"115.953631"
"2017-07-03 12:45:39.532","2017-07-03 12:46:27.347","104.17.52.121","192.168.10.9",2360107,0,1,12,0,0,"47.815644"
"2017-07-03 12:45:39.746","2017-07-03 12:46:27.355","104.17.54.121","192.168.10.9",867576,0,1,4,0,0,"47.609541"
"2017-07-03 12:45:39.563","2017-07-03 12:46:27.390","104.17.55.121","192.168.10.9",910744,0,1,6,0,0,"47.826332"
"2017-07-03 12:45:39.660","2017-07-03 12:46:27.355","104.17.56.121","192.168.10.9",212655,0,1,5,0,0,"47.695080"
"2017-07-03 13:28:10.866","2017-07-03 13:31:17.292","104.18.47.244","192.168.10.8",15763,0,1,3,0,0,"186.425257"
"2017-07-03 14:04:00.149","2017-07-03 14:05:56.145","104.19.130.57","192.168.10.8",1938436,0,2,7,8,0,"115.995788"
"2017-07-03 13:01:44.890","2017-07-03 13:04:45.550","104.19.192.102","192.168.10.14",3986,0,1,1,0,0,"180.660135"
"2017-07-03 13:28:52.038","2017-07-03 13:31:54.976","104.19.192.102","192.168.10.17",115822,0,1,2,0,0,"182.937226"
"2017-07-03 12:45:08.206","2017-07-03 12:48:09.231","104.19.192.102","192.168.10.19",27744,0,1,1,0,0,"181.025740"
"2017-07-03 14:25:37.342","2017-07-03 14:25:37.488","104.19.192.102","192.168.10.25",42469,0,1,1,0,0,"0.145859"
"2017-07-03 14:49:00.834","2017-07-03 14:52:02.370","104.19.192.102","192.168.10.8",53261,0,2,2,0,0,"181.536310"
"2017-07-03 14:30:42.264","2017-07-03 14:31:12.006","104.19.193.102","192.168.10.14",105766,0,1,5,0,0,"29.741762"
"2017-07-03 13:23:35.205","2017-07-03 13:23:35.313","104.19.193.102","192.168.10.25",42469,0,1,1,0,0,"0.108390"
"2017-07-03 14:46:56.347","2017-07-03 14:46:56.772","104.19.193.102","192.168.10.5",14983,0,1,1,0,0,"0.424947"
"2017-07-03 12:37:06.704","2017-07-03 12:49:58.412","104.19.194.102","192.168.10.12",10200,0,1,7,0,0,"771.707629"
"2017-07-03 12:24:34.132","2017-07-03 12:32:14.471","104.19.194.102","192.168.10.14",64197,0,1,5,0,0,"460.339203"
"2017-07-03 12:33:37.943","2017-07-03 14:49:15.527","104.19.194.102","192.168.10.16",181129,0,1,15,0,0,"8137.583358"
"2017-07-03 13:58:39.486","2017-07-03 14:00:09.519","104.19.194.102","192.168.10.25",5582,0,1,1,0,0,"90.033233"
"2017-07-03 14:10:58.292","2017-07-03 14:19:53.331","104.19.194.102","192.168.10.5",27696,0,1,2,0,0,"535.039638"
"2017-07-03 14:34:35.627","2017-07-03 14:37:36.294","104.19.194.102","192.168.10.51",40521,0,1,1,0,0,"180.667245"
"2017-07-03 13:46:58.886","2017-07-03 14:48:55.929","104.19.195.102","192.168.10.12",54150,0,2,4,0,0,"3717.042846"
"2017-07-03 13:02:04.151","2017-07-03 13:04:42.112","104.19.195.102","192.168.10.25",9549,0,1,1,0,0,"157.960416"
"2017-07-03 12:58:02.534","2017-07-03 13:04:44.282","104.19.195.102","192.168.10.5",83303,0,1,2,0,0,"401.747331"
"2017-07-03 13:49:32.322","2017-07-03 14:28:32.412","104.19.195.102","192.168.10.51",252921,0,1,3,0,0,"2340.089455"
"2017-07-03 14:35:31.737","2017-07-03 14:36:18.757","104.19.195.102","192.168.10.8",5055,0,1,1,0,0,"47.020197"
"2017-07-03 12:34:06.769","2017-07-03 13:09:32.688","104.19.196.102","192.168.10.12",81540,0,2,8,0,0,"2125.919053"
"2017-07-03 14:39:43.003","2017-07-03 14:42:55.377","104.19.196.102","192.168.10.14",21873,0,1,2,0,0,"192.373682"
