conversation,duration,start,finish,"dc_src_ports","dc_dst_ports","total_mb","avg_mb",mbps,"total_packets","num_protocols","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn"
"104.117.102.33->192.168.10.12","1.92966688","2017-07-03 14:32:00.158","2017-07-03 14:33:55.938",1,2,"0.022127151489257812","0.0006322043282645089","0.0114668245",35,2,35,1,7,1,2
"104.118.223.236->192.168.10.5","4.74609958","2017-07-03 13:29:50.990","2017-07-03 13:34:35.756",1,4,"0.20755767822265625","0.0012891781256065605","0.0437322636",161,2,161,4,20,0,4
"104.118.223.7->192.168.10.9","1.93479662","2017-07-03 13:28:07.539","2017-07-03 13:30:03.627",1,2,"0.008535385131835938","0.00028451283772786457","0.00441151543",30,2,30,2,9,0,2
"104.130.4.225->192.168.10.5","0.08834700","2017-07-03 12:38:53.948","2017-07-03 12:38:59.249",1,1,"0.007264137268066406","0.0006603761152787642","0.08222280",11,2,11,1,4,0,1
"104.131.71.216->192.168.10.51","0.16750230","2017-07-03 13:18:02.600","2017-07-03 13:18:12.650",1,2,"0.0008287429809570312","0.0001035928726196289","0.0049476514",8,2,8,2,1,0,2
"104.152.141.70->192.168.10.14","0.00758739","2017-07-03 12:15:33.456","2017-07-03 12:15:33.911",1,1,"0.0061511993408203125","0.0006151199340820312","0.810714",10,2,10,1,4,0,1
"104.152.141.70->192.168.10.16","0.03134293","2017-07-03 12:51:41.709","2017-07-03 12:51:43.590",1,1,"0.0061511993408203125","0.0006151199340820312","0.1962548",10,2,10,1,4,0,1
"104.152.141.70->192.168.10.9","0.08937652","2017-07-03 14:08:40.560","2017-07-03 14:08:45.923",1,2,"0.012418746948242188","0.0006536182604337993","0.1389487",19,2,19,2,9,0,2
"104.152.141.97->192.168.10.16","0.02028572","2017-07-03 12:51:39.764","2017-07-03 12:51:40.982",1,1,"0.005928993225097656","0.0005928993225097657","0.2922743",10,2,10,1,4,0,1
"104.152.141.98->192.168.10.51","0.00673732","2017-07-03 13:49:34.472","2017-07-03 13:49:34.876",1,1,"0.0058040618896484375","0.0005804061889648438","0.861480",10,2,10,1,4,0,1
"104.154.148.163->192.168.10.25","0.00255777","2017-07-03 14:02:28.493","2017-07-03 14:02:28.647",1,1,"0.019408226013183594","0.0012938817342122396","7.58796",15,2,15,1,2,0,1
"104.154.73.75->192.168.10.5","0.38237574","2017-07-03 12:24:17.841","2017-07-03 12:24:40.783",1,2,"0.012351036071777344","0.0006500545300935444","0.032300784",19,2,19,2,7,0,2
"104.154.73.75->192.168.10.51","0.25607433","2017-07-03 12:47:39.478","2017-07-03 12:47:54.842",1,1,"0.006466865539550781","0.0005878968672318892","0.025253861",11,2,11,1,5,0,1
"104.154.79.29->192.168.10.5","75.14197725","2017-07-03 13:25:58.281","2017-07-03 14:41:06.799",1,2,"0.007603645324707031","0.00044727325439453125","0.0001011903812",17,2,17,2,7,0,2
"104.154.79.29->192.168.10.51","1.0245236","2017-07-03 12:19:41.715","2017-07-03 12:20:43.187",1,1,"0.0038290023803710938","0.0002735001700265067","0.0037373491",14,2,14,1,4,0,1
"104.155.51.226->192.168.10.19","0.00230010","2017-07-03 12:45:09.586","2017-07-03 12:45:09.724",0,0,,,,12,1,,,,,
"104.155.59.61->192.168.10.51","1.94564623","2017-07-03 12:58:34.206","2017-07-03 13:00:30.944",1,1,"0.008441925048828125","0.000337677001953125","0.00433887975",25,2,25,1,6,0,1
"104.16.110.18->192.168.10.14","1.91936637","2017-07-03 12:39:58.547","2017-07-03 12:41:53.709",1,1,"0.005333900451660156","0.0002424500205300071","0.00277899027",22,2,22,1,4,0,1
"104.16.124.175->192.168.10.14","3.02217267","2017-07-03 13:54:39.003","2017-07-03 13:57:40.333",1,1,"0.0325775146484375","0.0008353208884214744","0.0107795015",39,2,39,1,19,0,1
"104.16.124.228->192.168.10.16","1.93677238","2017-07-03 13:47:34.231","2017-07-03 13:49:30.437",1,3,"0.057514190673828125","0.0007100517367139274","0.0296958957",81,2,81,3,19,0,3
"104.16.124.228->192.168.10.5","0.1664562","2017-07-03 14:51:36.792","2017-07-03 14:51:46.780",1,1,"0.0007123947143554688","0.0000890493392944336","0.004279773",8,2,8,1,4,0,1
"104.16.125.228->192.168.10.16","6.53287172","2017-07-03 13:53:04.720","2017-07-03 13:59:36.692",1,2,"0.0048961639404296875","0.00014400482177734375","0.000749465802",34,2,34,2,8,0,2
"104.16.126.228->192.168.10.16","11.1957949","2017-07-03 12:51:44.903","2017-07-03 13:02:56.651",1,4,"0.04759502410888672","0.0005666074298676991","0.00425115184",84,2,84,4,24,0,4
"104.16.126.228->192.168.10.5","0.01719858","2017-07-03 14:40:35.736","2017-07-03 14:40:36.768",1,1,"0.0007123947143554688","0.0000890493392944336","0.04142171",8,2,8,1,4,0,1
"104.16.127.228->192.168.10.14","18.44598330","2017-07-03 12:15:28.712","2017-07-03 12:33:55.471",1,5,"0.04864788055419922","0.00042673579433508087","0.002637315656",114,2,114,5,27,0,5
"104.16.14.15->192.168.10.5","5.50248543","2017-07-03 12:42:38.327","2017-07-03 12:48:08.477",1,6,"0.2294015884399414","0.0008926131845912117","0.0416905399",257,2,257,6,124,0,6
"104.16.15.15->192.168.10.5","5.06773505","2017-07-03 12:42:36.677","2017-07-03 12:47:40.741",1,2,"0.012876510620117188","0.000476907800745081","0.00254088079",27,2,26,2,6,1,2
"104.16.154.6->192.168.10.15","1.93165671","2017-07-03 12:30:54.973","2017-07-03 12:32:50.873",2,7,"1.057042121887207","0.0014620222985991798","0.547220484",723,3,723,7,43,0,7
"104.16.163.13->192.168.10.16","0.78248472","2017-07-03 12:42:38.645","2017-07-03 12:43:25.594",1,2,"0.027849197387695312","0.000819094040814568","0.035590724",34,2,34,2,3,0,2
"104.16.165.179->192.168.10.16","19.00473562","2017-07-03 12:15:36.330","2017-07-03 12:34:36.614",1,8,"10.522439002990723","0.0015621198044819956","0.5536745796",6736,2,6736,8,542,0,8
"104.16.165.179->192.168.10.5","0.98981990","2017-07-03 14:31:55.284","2017-07-03 14:32:54.674",1,15,"9.071635246276855","0.001401674172786906","9.1649352",6472,2,6472,14,363,0,15
"104.16.17.15->192.168.10.5","5.02930363","2017-07-03 12:42:38.982","2017-07-03 12:47:40.740",1,4,"0.059383392333984375","0.0006825677279768319","0.0118074781",87,2,87,4,33,0,4
"104.16.2.9->192.168.10.5","5.00576677","2017-07-03 14:13:57.377","2017-07-03 14:18:57.723",1,3,"0.11127376556396484","0.0009847235890616357","0.0222291151",113,2,113,3,19,0,3
"104.16.20.35->192.168.10.5","0.78396002","2017-07-03 13:10:56.701","2017-07-03 13:11:43.739",1,2,"0.13170623779296875","0.0013439412019690688","0.16800122",98,2,98,2,2,0,2
"104.16.20.35->192.168.10.51","3.01058900","2017-07-03 14:25:31.776","2017-07-03 14:28:32.411",1,1,"0.14555740356445312","0.0012129783630371095","0.0483484805",120,2,120,1,20,0,1
"104.16.205.165->192.168.10.16","8.04437637","2017-07-03 12:54:40.228","2017-07-03 13:02:42.891",1,2,"0.0074634552001953125","0.0002985382080078125","0.000927785432",25,2,25,2,11,0,2
"104.16.207.165->192.168.10.16","0.0116862","2017-07-03 12:54:41.741","2017-07-03 12:54:42.442",1,2,"0.00733184814453125","0.0004582405090332031","0.627396",16,2,16,2,8,0,2
"104.16.207.165->192.168.10.51","3.01238378","2017-07-03 12:22:27.464","2017-07-03 12:25:28.207",1,1,"0.06478023529052734","0.001136495355974164","0.0215046422",57,2,57,1,15,0,1
"104.16.208.165->192.168.10.16","3.08152145","2017-07-03 12:54:36.962","2017-07-03 12:57:41.853",1,2,"0.06964874267578125","0.0009045291256594968","0.0226020632",77,2,77,2,27,0,2
"104.16.208.165->192.168.10.25","1.5286511","2017-07-03 12:24:03.593","2017-07-03 12:25:35.312",1,1,"0.06538581848144531","0.0012820748721852021","0.042773541",51,2,51,1,12,0,1
"104.16.21.35->192.168.10.19","1.88912372","2017-07-03 14:15:35.683","2017-07-03 14:17:29.031",1,3,"0.13236427307128906","0.0013370128593059502","0.0700664926",99,2,99,3,3,0,3
"104.16.22.11->192.168.10.14","33.74661455","2017-07-03 12:15:33.030","2017-07-03 12:49:17.827",1,5,"0.028095245361328125","0.00046825408935546875","0.0008325352258",60,2,60,5,27,0,5
"104.16.22.11->192.168.10.16","3.02546358","2017-07-03 12:51:41.418","2017-07-03 12:54:42.946",1,1,"0.006199836730957031","0.00026955811873726225","0.00204921876",23,2,23,1,11,0,1
"104.16.22.11->192.168.10.51","3.01020287","2017-07-03 12:53:08.272","2017-07-03 12:56:08.884",1,1,"0.0058994293212890625","0.0003932952880859375","0.00195981121",15,2,15,1,8,0,1
"104.16.22.11->192.168.10.9","3.03046658","2017-07-03 12:50:28.169","2017-07-03 12:53:29.997",1,2,"0.011693000793457031","0.00038976669311523436","0.00385848201",30,2,30,2,15,0,2
"104.16.22.35->192.168.10.12","0.86241873","2017-07-03 14:48:09.880","2017-07-03 14:49:01.625",1,3,"0.21173954010009766","0.001315152422981973","0.24551825",161,2,161,3,8,0,3
"104.16.22.35->192.168.10.51","3.01435399","2017-07-03 14:25:32.551","2017-07-03 14:28:33.412",1,1,"0.004382133483886719","0.00029214223225911457","0.00145375543",15,2,15,1,8,0,1
"104.16.23.11->192.168.10.14","3.02441757","2017-07-03 12:49:17.173","2017-07-03 12:52:18.638",1,2,"0.016152381896972656","0.00039396053407250383","0.00534065867",41,2,41,1,24,0,2
"104.16.23.11->192.168.10.16","0.00295959","2017-07-03 12:51:42.524","2017-07-03 12:51:42.701",1,1,"0.0051097869873046875","0.0008516311645507812","1.72652",6,2,6,0,1,0,1
"104.16.23.11->192.168.10.51","3.01375368","2017-07-03 12:53:08.059","2017-07-03 12:56:08.884",1,1,"0.0062618255615234375","0.00039136409759521484","0.00207774962",16,2,16,1,8,0,1
"104.16.23.235->192.168.10.14","55.72025507","2017-07-03 12:59:47.768","2017-07-03 13:55:30.984",2,8,"0.011679649353027344","0.00014243474820765052","0.0002096122736",82,3,82,8,19,0,8
"104.16.23.235->192.168.10.5","0.77366451","2017-07-03 13:10:57.319","2017-07-03 13:11:43.739",1,1,"0.000438690185546875","0.00007311503092447917","0.00056702896",6,2,6,1,1,0,1
"104.16.23.35->192.168.10.12","0.76761090","2017-07-03 14:48:15.622","2017-07-03 14:49:01.679",1,2,"0.0005092620849609375","0.00004629655317826705","0.00066343780",11,2,11,2,1,0,2
"104.16.23.35->192.168.10.14","3.07391835","2017-07-03 12:59:43.657","2017-07-03 13:02:48.093",1,1,"0.13708877563476562","0.0012462615966796875","0.0445974031",110,2,110,1,23,0,1
"104.16.24.216->192.168.10.12","29.97422570","2017-07-03 13:40:15.509","2017-07-03 14:10:13.963",1,3,"0.008168220520019531","0.00028166277655239765","0.0002725081409",29,2,29,3,4,0,3
"104.16.24.216->192.168.10.14","86.33156105","2017-07-03 12:06:42.385","2017-07-03 13:33:02.278",1,4,"0.006052970886230469","0.0001952571253622732","0.00007011307120",31,2,31,4,3,0,4
"104.16.24.216->192.168.10.15","0.76732703","2017-07-03 14:37:37.616","2017-07-03 14:38:23.656",1,1,"0.0019989013671875","0.00022210015190972222","0.0026050188",9,2,9,1,1,0,1
"104.16.24.216->192.168.10.16","5.92371786","2017-07-03 12:24:43.757","2017-07-03 12:30:39.180",1,7,"0.008214950561523438","0.0001867034218528054","0.00138678964",44,2,44,7,4,0,7
"104.16.24.216->192.168.10.19","0.94523083","2017-07-03 13:22:31.850","2017-07-03 13:23:28.564",1,1,"0.006045341491699219","0.0004650262685922476","0.0063956245",13,2,13,1,3,0,1
"104.16.24.216->192.168.10.25","0.0010065","2017-07-03 13:02:04.798","2017-07-03 13:02:04.858",1,1,"0.0020151138305664062","0.00028787340436662944","2.0021",7,2,7,1,1,0,1
"104.16.24.216->192.168.10.8","0.77884132","2017-07-03 14:44:34.880","2017-07-03 14:45:21.611",1,3,"0.0059967041015625","0.00037479400634765625","0.0076995198",16,2,16,3,3,0,3
"104.16.24.216->192.168.10.9","38.46841942","2017-07-03 12:45:58.711","2017-07-03 13:24:26.816",1,4,"0.01226806640625","0.0002788196910511364","0.0003189126715",44,2,44,4,6,0,4
"104.16.24.235->192.168.10.14","0.76830590","2017-07-03 13:54:41.746","2017-07-03 13:55:27.844",1,2,"0.0013818740844726562","0.00012562491677024147","0.0017985988",11,2,11,2,1,0,2
"104.16.24.235->192.168.10.19","0.77405970","2017-07-03 14:16:42.508","2017-07-03 14:17:28.951",1,1,"0.001064300537109375","0.000118255615234375","0.0013749592",9,2,9,1,1,0,1
"104.16.24.235->192.168.10.5","42.64147810","2017-07-03 12:29:05.250","2017-07-03 13:11:43.739",2,2,"0.005660057067871094","0.0001715168808445786","0.0001327359491",33,3,33,2,11,0,2
"104.16.24.235->192.168.10.51","12.1110363","2017-07-03 14:25:32.635","2017-07-03 14:37:39.297",1,3,"0.006702423095703125","0.00022341410319010418","0.000553414501",30,2,30,3,17,0,3
"104.16.24.235->192.168.10.9","3.00997372","2017-07-03 14:22:09.536","2017-07-03 14:25:10.134",1,1,"0.0047245025634765625","0.0002624723646375868","0.00156961589",18,2,18,1,9,0,1
"104.16.24.35->192.168.10.14","0.81163009","2017-07-03 13:54:39.635","2017-07-03 13:55:28.333",1,3,"0.2132110595703125","0.0012921882398200758","0.26269487",165,2,165,3,5,0,3
"104.16.24.92->192.168.10.25","71.19732740","2017-07-03 13:39:31.139","2017-07-03 14:50:42.978",1,145,"5.286898612976074","0.0011533373937556881","0.07425698135",4584,2,4584,145,1381,0,145
"104.16.25.216->192.168.10.12","7.51920861","2017-07-03 13:43:35.369","2017-07-03 13:51:06.522",1,2,"0.0040283203125","0.000201416015625","0.000535737272",20,2,20,2,2,0,2
"104.16.25.216->192.168.10.14","3.86111870","2017-07-03 12:24:19.844","2017-07-03 12:28:11.511",1,6,"0.010146141052246094","0.000267003711901213","0.00262777238",38,2,38,6,5,0,6
"104.16.25.216->192.168.10.15","0.83295758","2017-07-03 12:49:41.035","2017-07-03 12:50:31.012",1,1,"0.0041046142578125","0.00037314675071022725","0.0049277590",11,2,11,1,2,0,1
"104.16.25.216->192.168.10.16","6.19855043","2017-07-03 14:40:49.846","2017-07-03 14:47:01.759",1,5,"0.008174896240234375","0.00022708045111762153","0.00131884000",36,2,36,5,4,0,5
"104.16.25.216->192.168.10.25","0.00061110","2017-07-03 13:10:21.607","2017-07-03 13:10:21.643",1,1,"0.0020151138305664062","0.00033585230509440106","3.2975",6,2,6,1,1,0,1
"104.16.25.216->192.168.10.51","70.27636990","2017-07-03 13:25:03.914","2017-07-03 14:35:20.496",1,6,"0.012078285217285156","0.0002516309420267741","0.0001718683710",48,2,48,6,6,0,6
"104.16.25.235->192.168.10.12","3.01029680","2017-07-03 13:57:08.764","2017-07-03 14:00:09.382",1,1,"0.00415802001953125","0.00029700142996651787","0.00138126580",14,2,14,1,8,0,1
"104.16.25.235->192.168.10.16","72.20446565","2017-07-03 12:51:41.338","2017-07-03 14:03:53.606",2,3,"0.008217811584472656","0.00023479461669921874","0.0001138130656",35,3,35,3,13,0,3
"104.16.25.235->192.168.10.19","0.77341096","2017-07-03 14:16:42.508","2017-07-03 14:17:28.912",1,1,"0.0013322830200195312","0.0001480314466688368","0.0017226068",9,2,9,1,1,0,1
"104.16.25.235->192.168.10.51","125.9862497","2017-07-03 12:22:33.237","2017-07-03 14:28:32.412",1,2,"0.009257316589355469","0.0003085772196451823","0.00007347878527",30,2,30,2,15,0,2
"104.16.25.235->192.168.10.9","0.77024358","2017-07-03 12:26:28.731","2017-07-03 12:27:14.945",1,1,"0.0010929107666015625","0.00010929107666015624","0.0014189158",10,2,10,1,2,0,1
"104.16.25.4->192.168.10.17","3.03748953","2017-07-03 13:10:47.381","2017-07-03 13:13:49.630",1,2,"0.6018867492675781","0.0014262719176956827","0.198152699",422,2,422,2,60,0,2
"104.16.25.92->192.168.10.25","84.21608739","2017-07-03 13:10:19.849","2017-07-03 14:34:32.815",1,322,"7.954888343811035","0.0010777521126962518","0.09445806129",7381,2,7381,322,2464,0,322
"104.16.26.216->192.168.10.12","55.00853500","2017-07-03 13:06:30.826","2017-07-03 14:01:31.339",1,10,"0.03679466247558594","0.00040433695028116413","0.0006688900636",91,2,91,10,18,0,10
"104.16.26.216->192.168.10.15","0.87469227","2017-07-03 12:33:22.977","2017-07-03 12:34:15.459",1,1,"0.0040988922119140625","0.00034157435099283856","0.0046860963",12,2,12,1,2,0,1
"104.16.26.216->192.168.10.19","4.68742214","2017-07-03 14:43:29.683","2017-07-03 14:48:10.929",1,3,"0.003997802734375","0.00019989013671875","0.000852878750",20,2,20,3,2,0,3
"104.16.26.216->192.168.10.51","41.29206658","2017-07-03 13:40:34.024","2017-07-03 14:21:51.548",1,3,"0.0099945068359375","0.0003997802734375","0.0002420442391",25,2,25,3,5,0,3
"104.16.26.216->192.168.10.8","0.76809692","2017-07-03 14:15:02.869","2017-07-03 14:15:48.954",1,3,"0.0040988922119140625","0.00019518534342447916","0.0053364258",21,2,21,3,2,0,3
"104.16.26.235->192.168.10.12","102.4557379","2017-07-03 13:06:32.226","2017-07-03 14:48:59.570",1,4,"0.0019330978393554688","0.00006443659464518229","0.00001886763864",30,2,30,4,3,0,4
"104.16.26.235->192.168.10.14","108.4743929","2017-07-03 12:07:01.649","2017-07-03 13:55:30.113",2,5,"0.012986183166503906","0.00024048487345377603","0.0001197165784",54,3,54,5,22,0,5
"104.16.26.235->192.168.10.16","3.01133802","2017-07-03 12:16:10.242","2017-07-03 12:19:10.922",1,1,"0.0041675567626953125","0.00026047229766845703","0.00138395515",16,2,16,1,8,0,1
"104.16.26.235->192.168.10.5","0.06492906","2017-07-03 14:40:32.878","2017-07-03 14:40:36.774",1,1,"0.004628181457519531","0.0002892613410949707","0.07128058",16,2,16,1,8,0,1
"104.16.26.235->192.168.10.9","0.76764328","2017-07-03 12:47:36.178","2017-07-03 12:48:22.237",1,2,"0.001354217529296875","0.00011285146077473958","0.0017641235",12,2,12,2,2,0,2
"104.16.26.35->192.168.10.19","0.77677300","2017-07-03 14:16:42.437","2017-07-03 14:17:29.044",1,1,"0.07932376861572266","0.0013003896494380763","0.10211963",61,2,61,1,4,0,1
"104.16.26.92->192.168.10.25","108.1800286","2017-07-03 13:02:03.652","2017-07-03 14:50:14.454",1,169,"8.845454216003418","0.0012477717895335615","0.08176605547",7089,2,7087,169,2137,2,169
"104.16.27.216->192.168.10.14","3.72555486","2017-07-03 14:39:41.113","2017-07-03 14:43:24.647",1,10,"0.01419830322265625","0.00018931070963541666","0.00381105734",75,2,75,10,7,0,10
"104.16.27.216->192.168.10.15","65.46261272","2017-07-03 13:08:16.025","2017-07-03 14:13:43.782",1,5,"0.006159782409667969","0.00018117007087258731","0.00009409618947",34,2,34,5,3,0,5
"104.16.27.216->192.168.10.19","64.66281582","2017-07-03 13:11:39.612","2017-07-03 14:16:19.381",1,7,"0.009998321533203125","0.00018864757609817216","0.0001546224272",53,2,53,7,5,0,7
"104.16.27.216->192.168.10.51","0.76722668","2017-07-03 14:50:02.075","2017-07-03 14:50:48.108",1,1,"0.0020494461059570312","0.00020494461059570313","0.0026712393",10,2,10,1,1,0,1
"104.16.27.216->192.168.10.8","12.8494475","2017-07-03 13:55:03.452","2017-07-03 14:07:54.419",1,8,"0.02866840362548828","0.00032952188075273885","0.00223110010",87,2,87,8,14,0,8
"104.16.27.216->192.168.10.9","0.76788040","2017-07-03 13:14:42.722","2017-07-03 13:15:28.795",1,5,"0.006161689758300781","0.00017604827880859374","0.0080242832",35,2,35,5,3,0,5
"104.16.27.235->192.168.10.12","0.76737609","2017-07-03 14:48:13.491","2017-07-03 14:48:59.534",1,2,"0.0011320114135742188","0.00010291012850674716","0.0014751716",11,2,11,2,1,0,2
"104.16.27.235->192.168.10.5","0.93284986","2017-07-03 13:25:57.759","2017-07-03 13:26:53.730",1,1,"0.0007076263427734375","0.00011793772379557292","0.00075856402",6,2,5,1,1,1,1
"104.16.27.235->192.168.10.51","129.8665518","2017-07-03 12:19:41.418","2017-07-03 14:29:33.412",2,2,"0.005633354187011719","0.0001942535926555765","0.00004337802235",29,3,29,2,12,0,2
"104.16.27.92->192.168.10.25","68.58888997","2017-07-03 13:17:36.106","2017-07-03 14:26:11.439",1,174,"14.103581428527832","0.0013724777567660404","0.2056248677",10276,2,10276,174,2733,0,174
"104.16.28.216->192.168.10.12","69.74828222","2017-07-03 12:07:05.595","2017-07-03 13:16:50.492",1,14,"0.032784461975097656","0.00029271841049194336","0.0004700397047",112,2,112,14,16,0,14
"104.16.28.216->192.168.10.16","56.60434322","2017-07-03 12:51:43.467","2017-07-03 13:48:19.728",1,12,"0.016347885131835938","0.00018790672565328665","0.0002888097309",87,2,87,12,8,0,12
"104.16.28.216->192.168.10.17","11.3478714","2017-07-03 12:24:13.449","2017-07-03 12:35:34.321",1,3,"0.006083488464355469","0.00026449949845023775","0.000536090714",23,2,23,2,3,0,3
"104.16.28.216->192.168.10.51","0.76731488","2017-07-03 12:39:46.056","2017-07-03 12:40:32.095",1,2,"0.0019989013671875","0.00018171830610795453","0.0026050601",11,2,11,2,1,0,2
"104.16.28.216->192.168.10.8","0.76800755","2017-07-03 13:41:33.801","2017-07-03 13:42:19.882",1,2,"0.0020380020141601562","0.00016983350118001303","0.0026536224",12,2,12,2,1,0,2
"104.16.28.216->192.168.10.9","14.4130791","2017-07-03 14:12:03.895","2017-07-03 14:26:28.680",1,8,"0.014346122741699219","0.0002706815611641362","0.000995354471",53,2,53,8,7,0,8
"104.16.28.92->192.168.10.25","15.4839581","2017-07-03 14:02:03.740","2017-07-03 14:17:32.777",1,28,"2.923219680786133","0.0014121834206696294","0.188790208",2070,2,2066,28,605,4,28
"104.16.3.9->192.168.10.12","1.92125332","2017-07-03 14:13:58.424","2017-07-03 14:15:53.699",1,3,"0.01619720458984375","0.0003305551957110969","0.00843054087",49,2,49,3,12,0,3
"104.16.3.9->192.168.10.14","0.09101900","2017-07-03 12:40:00.225","2017-07-03 12:40:05.686",1,2,"0.008335113525390625","0.0005953652518136161","0.09157554",14,2,14,2,4,0,2
"104.16.3.9->192.168.10.16","0.09935217","2017-07-03 12:45:38.134","2017-07-03 12:45:44.095",1,2,"0.008335113525390625","0.0005953652518136161","0.08389463",14,2,14,2,4,0,2
"104.16.3.9->192.168.10.5","5.00257218","2017-07-03 12:42:41.738","2017-07-03 12:47:41.892",1,1,"0.01703929901123047","0.0007745135914195668","0.00340610758",22,2,22,1,11,0,1
"104.16.3.92->192.168.10.8","0.76971670","2017-07-03 14:04:00.578","2017-07-03 14:04:46.761",1,2,"0.08146095275878906","0.001071854641563014","0.10583238",76,2,76,2,3,0,2
"104.16.32.229->192.168.10.5","11.2045623","2017-07-03 14:35:04.496","2017-07-03 14:46:16.770",1,3,"0.05683326721191406","0.0009632757154561705","0.00507233265",59,2,59,3,21,0,3
