,src,dst,start,finish,total_duration,total_bytes,total_packets,src_ports,dst_ports,pps,bps,bpp,num_protocols,flag_ack,flag_fin,flag_psh,flag_rst,flag_syn,attack,cluster,x,y
59882,192.168.10.9,91.192.149.12,2017-07-03 13:23:38.942,2017-07-03 13:23:39.420,0.478092,5391,12,443,1499,25.0998,11276.1,449.25,3,1,0,1,0,1,0,2,-1.4234009420293836,-0.3721452994453336
56336,192.168.10.9,198.232.125.123,2017-07-03 12:26:24.804,2017-07-03 12:26:25.158,0.354076,10017,75,443,1565,211.81900000000002,28290.5,133.56,3,1,0,1,0,1,0,2,-1.4380082484800414,-0.891930995165741
58347,192.168.10.9,52.84.143.144,2017-07-03 13:59:37.129,2017-07-03 13:59:37.217,0.087898,4856,14,443,2101,159.28,55246.0,346.8571428571428,3,1,0,1,0,1,0,2,-1.5608466040535878,-0.3345522588261172
58325,192.168.10.9,52.84.137.123,2017-07-03 14:12:04.501,2017-07-03 14:12:04.855,0.35463,4507,16,443,2432,45.117,12709.0,281.6875,3,1,0,1,0,1,0,2,-1.5647027565406981,-0.4475522981046818
59822,192.168.10.9,81.19.72.3,2017-07-03 13:23:35.352,2017-07-03 13:23:36.017,0.664867,3949,18,443,1430,27.0731,5939.53,219.38888888888889,3,1,1,1,0,1,0,3,-1.2847206659121266,-0.5977031400903832
57754,192.168.10.9,35.186.237.110,2017-07-03 14:25:32.841,2017-07-03 14:25:34.524,1.6834959999999999,4481,31,443,2876,18.41406,2661.723,144.5483870967742,3,1,1,1,0,1,0,3,-1.1388633017599836,-0.7617582514056925
95,104.152.141.70,192.168.10.9,2017-07-03 14:08:40.532,2017-07-03 14:08:40.764,0.232084,4364,18,443,2323,77.5581,18803.5,242.44444444444446,3,1,1,1,0,1,0,3,-1.3131161235459161,-0.5270303513829034
59425,192.168.10.9,72.167.239.239,2017-07-03 14:25:42.407,2017-07-03 14:25:42.705,0.29823,536,8,80,2988,26.825,1797.3,67.0,3,1,1,1,0,1,0,3,-1.5308592921408601,-0.536223521010828
19485,172.217.7.227,192.168.10.9,2017-07-03 12:11:01.086,2017-07-03 12:11:01.395,0.30837600000000004,5957,28,443,1276,90.7982,19317.3,212.75,3,1,1,1,0,1,0,3,-1.2750195177456702,-0.6353906239444593
51183,192.168.10.50,192.168.10.9,2017-07-03 14:04:44.823,2017-07-03 14:04:46.304,1.4811239999999999,3981,81,2201,22,54.6882,2687.824,49.148148148148145,3,1,1,1,0,1,0,4,-1.2077217450249866,-1.1532034364151627
51172,192.168.10.50,192.168.10.9,2017-07-03 13:28:28.740,2017-07-03 13:28:30.298,1.558289,4209,81,22,1912,51.980090000000004,2701.039,51.96296296296296,3,1,1,1,0,1,0,4,-1.1544576396253639,-1.0840574823571696
51188,192.168.10.50,192.168.10.9,2017-07-03 14:31:49.266,2017-07-03 14:31:50.714,1.448619,4209,81,3182,22,55.915319999999994,2905.526,51.96296296296296,3,1,1,1,0,1,0,4,-1.2111629042575616,-1.170995107751801
51185,192.168.10.50,192.168.10.9,2017-07-03 14:18:17.762,2017-07-03 14:18:19.259,1.496942,4017,79,2680,22,52.77426,2683.4709999999995,50.848101265822784,3,1,1,1,0,1,0,4,-1.2097869948569369,-1.1522213315853946
51167,192.168.10.50,192.168.10.9,2017-07-03 12:07:12.440,2017-07-03 12:07:13.854,1.413837,4017,79,22,1185,55.87631,2841.204,50.848101265822784,3,1,1,1,0,1,0,4,-1.1918998575180022,-1.0739151204848274
10958,162.208.20.178,192.168.10.5,2017-07-03 12:30:50.106,2017-07-03 12:30:50.456,0.350269,4114,12,50598,443,34.2594,11745.3,342.8333333333333,3,1,1,1,0,1,0,5,-1.603264466292054,-1.4853371221033251
54077,192.168.10.8,204.237.206.130,2017-07-03 12:20:07.310,2017-07-03 12:20:07.520,0.209788,8278,87,49228,443,414.704,39458.9,95.14942528735632,3,1,1,1,0,1,0,5,-1.5616230388098489,-1.9732597131873049
4918,125.212.216.123,192.168.10.8,2017-07-03 14:09:36.416,2017-07-03 14:09:37.501,1.085377,2706,14,51538,443,12.89874,2493.143,193.28571428571428,3,1,1,1,0,1,0,5,-1.6396065999882186,-1.640953039647105
4883,125.212.216.123,192.168.10.8,2017-07-03 14:09:32.589,2017-07-03 14:09:33.614,1.02544,4371,16,51502,443,15.6031,4262.56,273.1875,3,1,1,1,0,1,0,5,-1.545711347893608,-1.6193652241672458
18603,172.217.6.195,192.168.10.15,2017-07-03 13:52:31.739,2017-07-03 13:52:32.041,0.30162,4623,30,51204,443,99.463,15327.0,154.1,3,1,1,1,0,1,0,5,-1.7032755705805647,-1.6899742274115703
46013,192.168.10.5,23.194.109.153,2017-07-03 12:59:32.058,2017-07-03 12:59:32.185,0.127868,704,8,52421,443,62.5645,5505.68,88.0,3,1,0,1,0,1,0,6,-2.2195080494454675,-1.5256593413091593
3335,104.97.133.94,192.168.10.16,2017-07-03 12:28:00.645,2017-07-03 12:28:00.757,0.11224100000000001,720,9,57344,443,80.1846,6414.77,80.0,3,1,0,1,0,1,0,6,-2.2592027866577142,-1.6296983841886854
35483,192.168.10.19,52.69.106.192,2017-07-03 13:22:36.800,2017-07-03 13:22:40.001,3.20075,12549,71,55283,443,22.1823,3920.64,176.74647887323945,3,1,0,1,0,1,0,6,-1.3167762409182997,-2.210862856181156
28953,192.168.10.14,54.192.37.70,2017-07-03 13:39:07.994,2017-07-03 13:39:08.775,0.781013,11179,41,52760,443,52.4959,14313.5,272.6585365853659,3,1,0,1,0,1,0,6,-1.6693281823540103,-1.7566344892207943
27396,192.168.10.14,23.111.9.30,2017-07-03 13:41:09.459,2017-07-03 13:41:09.658,0.199728,6487,19,52823,443,95.1294,32479.2,341.42105263157896,3,1,0,1,0,1,0,6,-1.8685412286282372,-1.4891667530188446
59303,192.168.10.9,69.192.25.23,2017-07-03 13:28:05.669,2017-07-03 13:28:05.903,0.233276,9046,29,443,1801,124.316,38778.1,311.93103448275866,3,1,1,1,1,1,0,7,-0.7199222444471558,-0.7645743069797033
59824,192.168.10.9,81.19.72.3,2017-07-03 13:23:35.352,2017-07-03 13:23:36.003,0.650339,3949,18,443,1432,27.6779,6072.22,219.38888888888889,3,1,1,1,1,1,0,7,-0.8760836739124546,-0.7808965924377406
59068,192.168.10.9,66.235.155.40,2017-07-03 14:15:22.770,2017-07-03 14:15:23.369,0.598539,6357,28,443,2577,46.7806,10620.9,227.03571428571428,3,1,1,1,1,1,0,7,-0.7872588262686367,-0.8270956570509899
17089,172.217.12.162,192.168.10.9,2017-07-03 12:11:00.776,2017-07-03 12:11:01.024,0.24822600000000003,3302,22,443,1265,88.6289,13302.4,150.0909090909091,3,1,1,1,1,1,0,7,-0.9959335433451771,-0.7963187592397374
56480,192.168.10.9,199.59.148.11,2017-07-03 14:12:04.575,2017-07-03 14:12:05.113,0.538552,4192,30,443,2437,55.7049,7783.84,139.73333333333332,3,1,1,1,1,1,0,7,-0.9116566232962208,-0.8638891836657776
23614,192.168.10.12,216.58.217.67,2017-07-03 12:17:59.922,2017-07-03 12:18:00.202,0.28042100000000003,3668,24,443,40636,85.5856,13080.3,152.83333333333334,3,1,1,1,1,1,0,8,-0.5761587496294321,-0.147667454125781
32851,192.168.10.16,46.45.154.110,2017-07-03 14:29:59.891,2017-07-03 14:30:00.402,0.510456,3849,17,443,41476,33.3036,7540.32,226.41176470588238,3,1,1,1,1,1,0,8,-0.48887849343628537,-0.08327007248322876
32156,192.168.10.16,23.194.108.174,2017-07-03 12:51:37.851,2017-07-03 12:51:38.019,0.16775,7764,37,443,41542,220.57,46283.0,209.83783783783784,3,1,1,1,1,1,0,8,-0.41906168862697474,-0.15784251221930126
13424,162.248.16.28,192.168.10.12,2017-07-03 14:42:47.978,2017-07-03 14:42:48.463,0.484775,3061,23,443,41272,47.4447,6314.27,133.08695652173913,3,1,1,1,1,1,0,8,-0.5703319731924971,-0.16037464076819866
20902,178.172.160.2,192.168.10.12,2017-07-03 12:52:05.364,2017-07-03 12:52:05.681,0.31649099999999997,2198,13,443,38098,41.0754,6944.91,169.0769230769231,3,1,1,1,1,1,0,8,-0.6411323243041303,-0.11929241587806533
56004,192.168.10.8,93.184.216.135,2017-07-03 14:49:00.843,2017-07-03 14:49:00.927,0.084358,6411,20,52515,443,237.08,75998.0,320.55,3,1,1,1,1,1,0,9,-1.1938680066553966,-1.6781489410955706
47264,192.168.10.5,52.0.173.66,2017-07-03 14:26:48.785,2017-07-03 14:26:49.345,0.560059,2929,17,57213,443,30.3539,5229.81,172.29411764705884,3,1,1,1,1,1,0,9,-1.3477033133371032,-1.929325594663858
13378,162.248.16.24,192.168.10.14,2017-07-03 12:24:40.189,2017-07-03 12:24:40.836,0.646546,3161,21,50858,443,32.4803,4889.06,150.52380952380952,3,1,1,1,1,1,0,9,-1.2942250384507006,-1.8451437840215734
1736,104.20.17.160,192.168.10.5,2017-07-03 14:39:43.710,2017-07-03 14:39:46.754,3.044095,2930,14,58669,443,4.599068,962.5192,209.28571428571428,3,1,1,1,1,1,0,9,-0.9772866641083133,-2.090441532584696
48910,192.168.10.5,52.9.13.203,2017-07-03 14:36:24.747,2017-07-03 14:36:26.837,2.090091,4432,15,58323,443,7.176721000000001,2120.482,295.46666666666664,3,1,1,1,1,1,0,9,-1.012025034874845,-1.9947651360014993
16540,172.217.11.6,192.168.10.9,2017-07-03 12:38:07.493,2017-07-03 12:38:07.765,0.27208899999999997,4734,19,62502,443,69.8301,17398.7,249.15789473684208,3,1,0,1,1,1,0,10,-1.6219258008609068,-1.921497078435279
26518,192.168.10.12,74.125.29.157,2017-07-03 13:28:06.897,2017-07-03 13:28:07.097,0.200254,3028,16,60452,443,79.8985,15120.8,189.25,3,1,0,1,1,1,0,10,-1.7097295222925921,-1.875776456449289
19827,172.217.9.227,192.168.10.14,2017-07-03 13:54:40.868,2017-07-03 13:54:41.015,0.146835,3634,19,53192,443,129.39700000000002,24748.9,191.26315789473685,3,1,0,1,1,1,0,10,-1.6471644470006488,-1.7342153705513261
6315,146.20.129.71,192.168.10.16,2017-07-03 12:18:16.224,2017-07-03 12:18:16.404,0.179479,553,13,54496,443,72.4319,3081.14,42.53846153846154,3,1,0,1,1,1,0,10,-1.8427050577012063,-1.8069924718376749
18841,172.217.6.226,192.168.10.16,2017-07-03 14:30:02.801,2017-07-03 14:30:03.103,0.301686,3320,24,45644,443,79.5529,11004.8,138.33333333333334,3,1,0,1,1,1,0,10,-1.6081012075557197,-1.6676056693240964
1182,104.16.28.216,192.168.10.16,2017-07-03 13:00:47.284,2017-07-03 13:00:47.326,0.04135,2608,8,80,49912,193.5,63071.0,326.0,2,1,0,1,0,1,0,11,-0.9636099056907864,1.3492472591920657
20701,173.241.242.220,192.168.10.8,2017-07-03 14:04:03.060,2017-07-03 14:04:03.777,0.717434,1747,7,80,50534,9.757,2435.07,249.57142857142856,2,1,0,1,0,1,0,11,-0.9289973028078936,1.2033545543815451
32074,192.168.10.16,217.196.36.3,2017-07-03 12:57:37.679,2017-07-03 12:57:38.518,0.838844,8860,19,80,38154,22.6502,10562.2,466.31578947368416,2,1,0,1,0,1,0,11,-0.6806023193775088,0.974119460499269
33951,192.168.10.16,72.21.91.29,2017-07-03 12:20:22.126,2017-07-03 12:20:22.177,0.050716000000000004,1233,7,80,49060,138.02,24312.0,176.14285714285714,2,1,0,1,0,1,0,11,-1.1084385134430195,1.2248637340903126
1638,104.20.114.18,192.168.10.19,2017-07-03 14:15:32.469,2017-07-03 14:15:33.255,0.78586,1872,21,80,33626,26.721999999999998,2382.1,89.14285714285714,2,1,0,1,0,1,0,11,-1.1758772793807653,0.7501867323926982
59843,192.168.10.9,85.114.159.93,2017-07-03 12:46:05.310,2017-07-03 12:46:06.077,0.767579,739,10,80,63118,13.028,962.7669999999999,73.9,2,1,1,1,0,1,0,12,-0.6377431127561924,1.2460162912368924
40016,192.168.10.25,52.21.107.23,2017-07-03 14:02:29.422,2017-07-03 14:02:29.577,0.154757,1201,9,80,55919,58.1557,7760.55,133.44444444444446,2,1,1,1,0,1,0,12,-0.7490726425017811,1.2089887448502155
36312,192.168.10.25,192.82.243.71,2017-07-03 14:33:13.490,2017-07-03 14:33:13.633,0.143214,1740,9,80,61047,62.843,12149.7,193.33333333333331,2,1,1,1,0,1,0,12,-0.6434387351942313,1.3281969640249691
34871,192.168.10.19,192.168.10.50,2017-07-03 12:33:51.700,2017-07-03 12:33:51.798,0.09806000000000001,9761,27,6339,42356,275.3,99541.0,361.51851851851853,2,1,1,1,0,1,0,12,-0.5350888641214598,0.9188962371967445
21268,178.255.83.1,192.168.10.12,2017-07-03 14:00:32.882,2017-07-03 14:00:32.961,0.079413,1298,10,80,42334,125.92,16345.0,129.8,2,1,1,1,0,1,0,12,-0.8981884672359984,0.9922827360037286
59393,192.168.10.9,72.167.239.239,2017-07-03 13:23:43.106,2017-07-03 13:23:44.141,1.035299,2694,11,80,1652,10.62495,2602.147,244.9090909090909,2,1,1,1,0,1,0,13,-1.052579031329377,0.25850422255714206
59422,192.168.10.9,72.167.239.239,2017-07-03 14:22:10.023,2017-07-03 14:22:10.489,0.46571999999999997,2690,10,80,2826,21.471999999999998,5776.0,269.0,2,1,1,1,0,1,0,13,-1.108486704739358,0.33839303289036554
59427,192.168.10.9,72.167.239.239,2017-07-03 14:25:42.647,2017-07-03 14:25:42.794,0.147001,2692,10,80,2990,68.0267,18312.8,269.2,2,1,1,1,0,1,0,13,-1.1544309151365721,0.3805590360823016
57958,192.168.10.9,50.63.243.230,2017-07-03 14:08:40.709,2017-07-03 14:08:40.811,0.101595,2694,10,80,2327,98.43,26517.1,269.4,2,1,1,1,0,1,0,13,-1.1686848108359524,0.38457436996644373
59388,192.168.10.9,72.167.239.239,2017-07-03 13:23:40.575,2017-07-03 13:23:40.731,0.156026,2694,10,80,1549,64.0919,17266.4,269.4,2,1,1,1,0,1,0,13,-1.1674370531884053,0.35417445752610327
56266,192.168.10.9,195.88.55.87,2017-07-03 13:20:54.989,2017-07-03 13:20:55.248,0.258998,1670,6,80,1406,23.1662,6447.93,278.3333333333333,2,1,0,1,0,1,0,14,-1.4789992150260622,0.43123939820064633
57081,192.168.10.9,23.203.96.167,2017-07-03 12:14:55.018,2017-07-03 12:14:55.088,0.069128,2928,8,80,1414,115.73,42356.0,366.0,2,1,0,1,0,1,0,14,-1.4136146915994172,0.5159736911599022
59502,192.168.10.9,72.21.91.29,2017-07-03 13:28:05.960,2017-07-03 13:28:08.480,2.520368,1231,11,80,1819,4.3644419999999995,488.4207,111.9090909090909,2,1,0,1,0,1,0,14,-1.2655688315113482,0.17064631053574467
56229,192.168.10.9,195.88.55.87,2017-07-03 13:11:28.031,2017-07-03 13:11:28.291,0.259461,1671,6,80,1123,23.1249,6440.27,278.5,2,1,0,1,0,1,0,14,-1.4816663423470011,0.4264978782068954
5012,129.146.12.97,192.168.10.9,2017-07-03 13:10:09.370,2017-07-03 13:10:09.875,0.504087,903,9,80,1040,17.8541,1791.36,100.33333333333331,2,1,0,1,0,1,0,14,-1.5850717898520505,0.29951735913372285
17837,172.217.12.205,192.168.10.25,2017-07-03 13:03:20.411,2017-07-03 13:03:20.641,0.230449,3389,21,50672,443,91.1265,14706.1,161.38095238095238,2,1,1,1,0,1,0,15,-1.551651011129023,-0.8003888496680138
15382,172.217.10.45,192.168.10.25,2017-07-03 13:47:07.473,2017-07-03 13:47:07.706,0.233231,3341,23,53750,443,98.6147,14324.9,145.2608695652174,2,1,1,1,0,1,0,15,-1.5814986558506476,-0.8806810605234534
43475,192.168.10.25,68.67.178.243,2017-07-03 14:04:43.441,2017-07-03 14:04:43.598,0.15667999999999999,1605,19,56459,443,121.27,10244.0,84.47368421052632,2,1,1,1,0,1,0,15,-1.705561684563458,-0.9245638320261362
36889,192.168.10.25,216.58.219.226,2017-07-03 13:32:11.456,2017-07-03 13:32:11.655,0.198881,3381,25,52021,443,125.70299999999999,17000.1,135.24,2,1,1,1,0,1,0,15,-1.5779381775156518,-0.8553721897812909
36773,192.168.10.25,216.58.219.194,2017-07-03 14:03:10.235,2017-07-03 14:03:10.543,0.308175,1872,21,56235,443,68.1431,6074.47,89.14285714285714,2,1,1,1,0,1,0,15,-1.6673718558005863,-0.9511627047144096
43867,192.168.10.25,72.21.81.48,2017-07-03 13:02:58.602,2017-07-03 13:02:58.795,0.19359500000000002,6549,28,50155,443,144.632,33828.4,233.89285714285717,2,1,0,1,0,1,0,16,-1.7096989259311877,-0.7281675597337374
40490,192.168.10.25,52.7.160.203,2017-07-03 14:21:51.860,2017-07-03 14:21:52.113,0.252651,7319,25,59193,443,98.9507,28968.8,292.76,2,1,0,1,0,1,0,16,-1.7055409728498312,-0.8810252071844908
42063,192.168.10.25,54.192.36.99,2017-07-03 13:27:02.942,2017-07-03 13:27:03.088,0.145698,8188,32,51884,443,219.632,56198.4,255.875,2,1,0,1,0,1,0,16,-1.6662959808675617,-0.7540048432356304
39234,192.168.10.25,35.186.227.40,2017-07-03 14:21:37.315,2017-07-03 14:21:39.205,1.8898979999999999,5610,32,59159,443,16.932129999999997,2968.414,175.3125,2,1,0,1,0,1,0,16,-1.5803184743522367,-1.1084202017709226
44325,192.168.10.25,87.240.165.80,2017-07-03 12:24:04.121,2017-07-03 12:24:05.222,1.101869,7082,21,49297,443,19.058529999999998,6427.2609999999995,337.23809523809524,2,1,0,1,0,1,0,16,-1.4943275601366086,-0.7243117612645831
35975,192.168.10.25,192.168.10.3,2017-07-03 14:16:38.086,2017-07-03 14:16:38.109,0.022844,7448,30,58520,389,1313.3,326037.0,248.26666666666668,2,1,0,1,0,1,0,17,-1.7972499740089787,-0.4547558295240002
35962,192.168.10.25,192.168.10.3,2017-07-03 14:07:09.173,2017-07-03 14:07:09.197,0.023976,7448,30,56915,3268,1251.3,310644.0,248.26666666666668,2,1,0,1,0,1,0,17,-1.7546355651000491,-0.3976669389585589
35992,192.168.10.25,192.168.10.3,2017-07-03 14:35:11.538,2017-07-03 14:35:11.558,0.020018,7448,30,61716,3268,1498.7,372065.0,248.26666666666668,2,1,0,1,0,1,0,17,-1.7968785554169309,-0.3997172605869192
36003,192.168.10.25,192.168.10.3,2017-07-03 14:45:00.098,2017-07-03 14:45:00.118,0.019987,7446,30,63248,389,1501.0,372542.0,248.2,2,1,0,1,0,1,0,17,-1.8367776801242275,-0.4780042272371834
35922,192.168.10.25,192.168.10.3,2017-07-03 13:27:00.943,2017-07-03 13:27:00.963,0.020097999999999998,7448,30,51866,3268,1492.7,370584.0,248.26666666666668,2,1,0,1,0,1,0,17,-1.7294355848181486,-0.20631995113664728
35756,192.168.10.19,74.125.22.108,2017-07-03 14:08:38.600,2017-07-03 14:08:40.487,1.887134,3599,44,465,41620,23.31578,1907.125,81.79545454545455,2,1,1,1,1,1,0,18,-0.15024217735616044,0.40612146157723855
20194,173.194.205.108,192.168.10.16,2017-07-03 12:40:37.149,2017-07-03 12:40:39.005,1.856536,3613,44,465,35034,23.70005,1946.0970000000002,82.11363636363636,2,1,1,1,1,1,0,18,-0.221030219187817,0.2970351202662959
34778,192.168.10.17,74.125.29.108,2017-07-03 14:21:30.186,2017-07-03 14:21:32.028,1.8414009999999998,1477,39,465,34722,21.17953,802.1067,37.87179487179487,2,1,1,1,1,1,0,18,-0.3215155387752373,0.3169478590986972
20315,173.194.68.109,192.168.10.19,2017-07-03 12:54:15.846,2017-07-03 12:54:17.790,1.9431990000000001,3599,44,465,35775,22.64307,1852.101,81.79545454545455,2,1,1,1,1,1,0,18,-0.20154128124241968,0.3036778647543495
20146,173.194.175.109,192.168.10.17,2017-07-03 12:33:06.604,2017-07-03 12:33:08.461,1.856573,5033,41,465,38755,22.0837,2710.909,122.75609756097559,2,1,1,1,1,1,0,18,-0.1224121450361711,0.3847485262673948
41978,192.168.10.25,54.183.42.224,2017-07-03 14:37:42.963,2017-07-03 14:37:43.551,0.587854,2319,24,62106,443,40.8265,3944.86,96.625,2,1,1,1,1,1,0,19,-1.2337806827732776,-1.292613886538275
44260,192.168.10.25,80.247.66.26,2017-07-03 14:19:11.923,2017-07-03 14:19:12.648,0.725301,10787,70,58963,443,96.5117,14872.4,154.1,2,1,1,1,1,1,0,19,-0.8554886815528537,-1.5324115846269866
37495,192.168.10.25,23.194.182.12,2017-07-03 14:42:37.738,2017-07-03 14:42:37.841,0.10288299999999999,1192,21,62512,443,204.115,11586.0,56.76190476190475,2,1,1,1,1,1,0,19,-1.3722478468995667,-1.2379021487087531
41902,192.168.10.25,54.183.241.190,2017-07-03 14:38:16.402,2017-07-03 14:38:16.786,0.38307399999999997,2015,21,62152,443,54.8197,5260.08,95.95238095238096,2,1,1,1,1,1,0,19,-1.2774125129322336,-1.2579505280995857
38557,192.168.10.25,31.13.80.8,2017-07-03 14:10:27.811,2017-07-03 14:10:28.143,0.33255,4075,29,57124,443,87.205,12254.0,140.51724137931035,2,1,1,1,1,1,0,19,-1.153161306689507,-1.185341282941639
2210,104.31.9.186,192.168.10.9,2017-07-03 14:36:45.570,2017-07-03 14:36:45.585,0.015163,0,3,80,3233,197.85,0.0,0.0,1,1,0,0,0,1,0,20,-1.8808486620572742,1.359168827848919
15769,172.217.10.78,192.168.10.9,2017-07-03 14:15:21.033,2017-07-03 14:15:21.070,0.036976999999999996,0,3,80,2554,81.132,0.0,0.0,1,1,0,0,0,1,0,20,-1.8825923749554436,1.3349240450809836
56199,192.168.10.9,195.88.55.21,2017-07-03 13:10:10.475,2017-07-03 13:10:10.603,0.128499,0,3,80,1088,23.3465,0.0,0.0,1,1,0,0,0,1,0,20,-1.8832771808271502,1.298603969445629
58613,192.168.10.9,54.192.36.86,2017-07-03 13:20:21.436,2017-07-03 13:20:21.466,0.029720999999999997,0,3,80,1385,100.94,0.0,0.0,1,1,0,0,0,1,0,20,-1.8958644500034934,1.3175891200585677
15590,172.217.10.66,192.168.10.9,2017-07-03 14:36:46.194,2017-07-03 14:36:46.231,0.036832,0,3,80,3246,81.45100000000001,0.0,0.0,1,1,0,0,0,1,0,20,-1.8755844861014046,1.3466468131453213
1410,104.19.194.102,192.168.10.16,2017-07-03 13:43:44.796,2017-07-03 13:43:45.318,0.522328,0,6,443,42412,11.487,0.0,0.0,1,1,1,0,0,1,0,21,-1.104686564816913,1.88057242717243
9447,152.163.56.2,192.168.10.12,2017-07-03 13:01:09.842,2017-07-03 13:01:09.912,0.06994,0,6,443,39296,85.79,0.0,0.0,1,1,1,0,0,1,0,21,-1.2030040334366554,1.8645865936076416
21690,178.255.83.1,192.168.10.8,2017-07-03 13:28:08.492,2017-07-03 13:28:08.576,0.08433,0,6,80,49736,71.15,0.0,0.0,1,1,1,0,0,1,0,21,-1.0920712763784537,2.045683888373719
1954,104.244.46.39,192.168.10.12,2017-07-03 14:48:15.416,2017-07-03 14:48:15.468,0.051565999999999994,0,6,443,40476,116.36,0.0,0.0,1,1,1,0,0,1,0,21,-1.1941894846531833,1.888677347482547
1412,104.19.194.102,192.168.10.16,2017-07-03 13:43:50.441,2017-07-03 13:43:51.501,1.060455,0,6,443,42446,5.6579489999999995,0.0,0.0,1,1,1,0,0,1,0,21,-1.0264870641269896,1.8456268028831382
4097,107.20.235.219,192.168.10.9,2017-07-03 12:53:25.977,2017-07-03 12:53:29.026,3.049484,0,7,80,64257,2.29547,0.0,0.0,1,1,1,0,0,1,0,22,-0.5132240158528344,2.0859463420654567
21743,178.255.83.1,192.168.10.8,2017-07-03 14:31:05.028,2017-07-03 14:31:08.147,3.1196580000000003,0,9,80,52194,2.884932,0.0,0.0,1,1,1,0,0,1,0,22,-0.6224754679279748,1.866629429338359
58773,192.168.10.9,54.225.188.92,2017-07-03 13:03:02.061,2017-07-03 13:03:04.788,2.727074,0,7,80,65380,2.566854,0.0,0.0,1,1,1,0,0,1,0,22,-0.548397995498654,2.125872095261149
