"tcp_stream",protocol,"flow_id","flow_start","flow_finish","src_ip","src_port","dst_ip","dst_port","total_duration","start_time","finish_time","total_packets","total_bytes",pps,bps,bpp,"total_http_errors","total_failures","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn","first_flag","last_flag"
998,TLSv1,"192.168.10.5:51743->52.204.153.150:443","2017-07-03 12:39:46.867","2017-07-03 12:39:46.867","192.168.10.5",51743,"52.204.153.150",443,"0.000000","1499085586.867649","1499085586.867649",1,239,0,0,239,0,0,1,0,1,0,0,,
998,TLSv1,"192.168.10.8:51460->125.212.216.123:443","2017-07-03 14:09:29.903","2017-07-03 14:09:29.903","192.168.10.8",51460,"125.212.216.123",443,"0.000000","1499090969.903130","1499090969.903130",1,517,0,0,517,0,0,1,0,1,0,0,,
998,"TLSv1.2","125.212.216.123:443->192.168.10.8:51460","2017-07-03 14:09:30.160","2017-07-03 14:09:31.453","125.212.216.123",443,"192.168.10.8",51460,"1.292394","1499090970.160722","1499090971.453116",12,21506,"9.285095","16640.44","1792.1666666666667",0,0,12,1,3,0,0,"TCP segment of a reassembled PDU","TCP segment of a reassembled PDU"
998,"TLSv1.2","172.217.9.226:443->192.168.10.12:44746","2017-07-03 12:43:15.050","2017-07-03 12:46:12.038","172.217.9.226",443,"192.168.10.12",44746,"176.987946","1499085795.050470","1499085972.038416",9,3196,"0.0508509207","18.0577270","355.1111111111111",0,0,9,0,8,0,0,"TCP Spurious Retransmission","TCP Spurious Retransmission"
998,"TLSv1.2","192.168.10.12:44746->172.217.9.226:443","2017-07-03 12:43:15.055","2017-07-03 12:46:15.827","192.168.10.12",44746,"172.217.9.226",443,"180.771950","1499085795.055355","1499085975.827305",8,509,"0.0442546534","2.81570233","63.625",0,0,8,0,8,0,0,,
998,"TLSv1.2","192.168.10.12:52610->23.111.11.111:443","2017-07-03 13:20:34.507","2017-07-03 13:20:40.376","192.168.10.12",52610,"23.111.11.111",443,"5.869175","1499088034.507029","1499088040.376204",2,157,"0.3407634","26.74993","78.5",0,0,2,0,2,0,0,,
998,"TLSv1.2","192.168.10.16:49498->216.58.219.228:443","2017-07-03 12:29:45.023","2017-07-03 12:32:53.990","192.168.10.16",49498,"216.58.219.228",443,"188.967006","1499084985.023173","1499085173.990179",23,3510,"0.121714370","18.5746712","152.6086956521739",0,0,23,0,23,0,0,,
998,"TLSv1.2","192.168.10.5:51743->52.204.153.150:443","2017-07-03 12:39:46.922","2017-07-03 12:39:50.792","192.168.10.5",51743,"52.204.153.150",443,"3.870491","1499085586.922222","1499085590.792713",4,1725,"1.033461","445.6799","431.25",0,0,4,0,4,0,0,,
998,"TLSv1.2","192.168.10.8:51460->125.212.216.123:443","2017-07-03 14:09:30.161","2017-07-03 14:09:30.162","192.168.10.8",51460,"125.212.216.123",443,"0.000867","1499090970.161713","1499090970.162580",2,460,2306,530487,230,0,0,2,0,2,0,0,,
998,"TLSv1.2","216.58.219.228:443->192.168.10.16:49498","2017-07-03 12:29:45.022","2017-07-03 12:32:49.732","216.58.219.228",443,"192.168.10.16",49498,"184.710247","1499084985.022347","1499085169.732594",24,5404,"0.129933235","29.2566335","225.16666666666666",0,0,24,0,24,0,0,,
998,"TLSv1.2","23.111.11.111:443->192.168.10.12:52610","2017-07-03 13:20:34.502","2017-07-03 13:20:34.527","23.111.11.111",443,"192.168.10.12",52610,"0.024992","1499088034.502342","1499088034.527334",3,3094,"120.04",123800,"1031.3333333333333",0,0,3,0,2,0,0,,
998,"TLSv1.2","52.204.153.150:443->192.168.10.5:51743","2017-07-03 12:39:46.918","2017-07-03 12:40:50.981","52.204.153.150",443,"192.168.10.5",51743,"64.062725","1499085586.918612","1499085650.981337",12,8141,"0.18731642","127.07858","678.4166666666666",0,0,12,0,11,0,0,,
998,"TLSv1.2","52.44.158.240:443->192.168.10.5:51929","2017-07-03 12:50:24.075","2017-07-03 12:50:24.075","52.44.158.240",443,"192.168.10.5",51929,"0.000000","1499086224.075455","1499086224.075455",1,31,0,0,31,0,0,1,0,1,0,0,,
