"tcp_stream","flow_id","flow_start","flow_finish","src_ip","src_port","dst_ip","dst_port",protocol,"total_duration","start_time","finish_time","total_packets","total_bytes",pps,bps,bpp,"total_http_errors","total_failures","flag_ack","flag_fin","flag_psh","flag_rst","flag_syn","first_flag","last_flag"
11702,"192.168.10.12:139->192.168.10.25:51241","2017-07-03 13:16:54.535","2017-07-03 13:16:54.535","192.168.10.12",139,"192.168.10.25",51241,DCERPC,"0.000048","1499087814.535740","1499087814.535788",2,256,41528,5315554,128,0,0,2,0,2,0,0,"TCP Spurious Retransmission","TCP Spurious Retransmission"
11702,"192.168.10.25:51241->192.168.10.12:139","2017-07-03 13:16:54.535","2017-07-03 13:16:54.535","192.168.10.25",51241,"192.168.10.12",139,DCERPC,"0.000000","1499087814.535551","1499087814.535551",1,158,0,0,158,0,0,1,0,1,0,0,,
12219,"192.168.10.12:139->192.168.10.25:62120","2017-07-03 14:37:54.798","2017-07-03 14:37:54.798","192.168.10.12",139,"192.168.10.25",62120,DCERPC,"0.000000","1499092674.798607","1499092674.798607",1,128,0,0,128,0,0,1,0,1,0,0,,
12219,"192.168.10.25:62120->192.168.10.12:139","2017-07-03 14:37:54.798","2017-07-03 14:37:54.798","192.168.10.25",62120,"192.168.10.12",139,DCERPC,"0.000000","1499092674.798385","1499092674.798385",1,158,0,0,158,0,0,1,0,1,0,0,,
12494,"192.168.10.12:139->192.168.10.25:54494","2017-07-03 13:52:54.474","2017-07-03 13:52:54.474","192.168.10.12",139,"192.168.10.25",54494,DCERPC,"0.000000","1499089974.474476","1499089974.474476",1,128,0,0,128,0,0,1,0,1,0,0,,
12494,"192.168.10.25:54494->192.168.10.12:139","2017-07-03 13:52:54.474","2017-07-03 13:52:54.474","192.168.10.25",54494,"192.168.10.12",139,DCERPC,"0.000000","1499089974.474248","1499089974.474248",1,158,0,0,158,0,0,1,0,1,0,0,,
1255,"192.168.10.12:139->192.168.10.25:49681","2017-07-03 12:40:54.605","2017-07-03 12:40:54.605","192.168.10.12",139,"192.168.10.25",49681,DCERPC,"0.000003","1499085654.605465","1499085654.605468",2,256,645278,82595525,128,0,0,2,0,2,0,0,"TCP Spurious Retransmission","TCP Spurious Retransmission"
1255,"192.168.10.25:49681->192.168.10.12:139","2017-07-03 12:40:54.605","2017-07-03 12:40:54.605","192.168.10.25",49681,"192.168.10.12",139,DCERPC,"0.000000","1499085654.605237","1499085654.605237",1,158,0,0,158,0,0,1,0,1,0,0,,
12728,"192.168.10.15:51243->192.168.10.3:135","2017-07-03 13:53:41.783","2017-07-03 13:53:41.783","192.168.10.15",51243,"192.168.10.3",135,DCERPC,"0.000000","1499090021.783177","1499090021.783177",1,160,0,0,160,0,0,1,0,1,0,0,,
12728,"192.168.10.3:135->192.168.10.15:51243","2017-07-03 13:53:41.783","2017-07-03 13:53:41.783","192.168.10.3",135,"192.168.10.15",51243,DCERPC,"0.000000","1499090021.783270","1499090021.783270",1,108,0,0,108,0,0,1,0,1,0,0,,
12729,"192.168.10.15:51244->192.168.10.3:49671","2017-07-03 13:53:41.784","2017-07-03 13:53:41.784","192.168.10.15",51244,"192.168.10.3",49671,DCERPC,"0.000000","1499090021.784252","1499090021.784252",1,221,0,0,221,0,0,1,0,1,0,0,,
12729,"192.168.10.3:49671->192.168.10.15:51244","2017-07-03 13:53:41.784","2017-07-03 13:53:41.784","192.168.10.3",49671,"192.168.10.15",51244,DCERPC,"0.000000","1499090021.784359","1499090021.784359",1,128,0,0,128,0,0,1,0,1,0,0,,
12731,"192.168.10.15:51245->192.168.10.3:49666","2017-07-03 13:53:41.996","2017-07-03 13:53:42.050","192.168.10.15",51245,"192.168.10.3",49666,DCERPC,"0.053701","1499090021.996397","1499090022.050098",2,1975,"37.243",36778,"987.5",0,0,2,0,2,0,0,,
12731,"192.168.10.3:49666->192.168.10.15:51245","2017-07-03 13:53:41.996","2017-07-03 13:53:42.050","192.168.10.3",49666,"192.168.10.15",51245,DCERPC,"0.053351","1499090021.996965","1499090022.050316",2,389,"37.487","7291.3","194.5",0,0,2,0,2,0,0,,
1277,"192.168.10.3:135->192.168.10.8:49410","2017-07-03 12:51:04.822","2017-07-03 12:51:04.822","192.168.10.3",135,"192.168.10.8",49410,DCERPC,"0.000000","1499086264.822156","1499086264.822156",1,108,0,0,108,0,0,1,0,1,0,0,,
1277,"192.168.10.8:49410->192.168.10.3:135","2017-07-03 12:51:04.822","2017-07-03 12:51:04.822","192.168.10.8",49410,"192.168.10.3",135,DCERPC,"0.000000","1499086264.822015","1499086264.822015",1,160,0,0,160,0,0,1,0,1,0,0,,
1278,"192.168.10.3:49666->192.168.10.8:49411","2017-07-03 12:51:04.983","2017-07-03 12:51:04.983","192.168.10.3",49666,"192.168.10.8",49411,DCERPC,"0.000282","1499086264.983325","1499086264.983607",2,389,7091,1379192,"194.5",0,0,2,0,2,0,0,,
1278,"192.168.10.8:49411->192.168.10.3:49666","2017-07-03 12:51:04.982","2017-07-03 12:51:04.983","192.168.10.8",49411,"192.168.10.3",49666,DCERPC,"0.000617","1499086264.982785","1499086264.983402",2,1803,3241,2922075,"901.5",0,0,2,0,2,0,0,,
12814,"192.168.10.3:135->192.168.10.8:50374","2017-07-03 13:53:56.343","2017-07-03 13:53:56.343","192.168.10.3",135,"192.168.10.8",50374,DCERPC,"0.000000","1499090036.343768","1499090036.343768",1,108,0,0,108,0,0,1,0,1,0,0,,
12814,"192.168.10.8:50374->192.168.10.3:135","2017-07-03 13:53:56.343","2017-07-03 13:53:56.343","192.168.10.8",50374,"192.168.10.3",135,DCERPC,"0.000000","1499090036.343652","1499090036.343652",1,160,0,0,160,0,0,1,0,1,0,0,,
12815,"192.168.10.3:49666->192.168.10.8:50375","2017-07-03 13:53:56.345","2017-07-03 13:53:56.345","192.168.10.3",49666,"192.168.10.8",50375,DCERPC,"0.000361","1499090036.345353","1499090036.345714",2,389,5537,1076953,"194.5",0,0,2,0,2,0,0,,
12815,"192.168.10.8:50375->192.168.10.3:49666","2017-07-03 13:53:56.344","2017-07-03 13:53:56.345","192.168.10.8",50375,"192.168.10.3",49666,DCERPC,"0.000676","1499090036.344807","1499090036.345483",2,1865,2958,2758243,"932.5",0,0,2,0,2,0,0,,
1294,"192.168.10.12:139->192.168.10.25:49796","2017-07-03 12:43:55.005","2017-07-03 12:43:55.005","192.168.10.12",139,"192.168.10.25",49796,DCERPC,"0.000000","1499085835.005755","1499085835.005755",1,128,0,0,128,0,0,1,0,1,0,0,,
1294,"192.168.10.25:49796->192.168.10.12:139","2017-07-03 12:43:55.005","2017-07-03 12:43:55.005","192.168.10.25",49796,"192.168.10.12",139,DCERPC,"0.000000","1499085835.005537","1499085835.005537",1,158,0,0,158,0,0,1,0,1,0,0,,
13368,"192.168.10.15:51249->192.168.10.3:135","2017-07-03 13:54:29.975","2017-07-03 13:54:29.975","192.168.10.15",51249,"192.168.10.3",135,DCERPC,"0.000000","1499090069.975269","1499090069.975269",1,160,0,0,160,0,0,1,0,1,0,0,,
13368,"192.168.10.3:135->192.168.10.15:51249","2017-07-03 13:54:29.975","2017-07-03 13:54:29.975","192.168.10.3",135,"192.168.10.15",51249,DCERPC,"0.000000","1499090069.975348","1499090069.975348",1,108,0,0,108,0,0,1,0,1,0,0,,
13369,"192.168.10.15:51250->192.168.10.3:49666","2017-07-03 13:54:29.976","2017-07-03 13:54:29.977","192.168.10.15",51250,"192.168.10.3",49666,DCERPC,"0.000798","1499090069.976757","1499090069.977555",2,2037,2506,2552673,"1018.5",0,0,2,0,2,0,0,,
13369,"192.168.10.3:49666->192.168.10.15:51250","2017-07-03 13:54:29.977","2017-07-03 13:54:29.977","192.168.10.3",49666,"192.168.10.15",51250,DCERPC,"0.000462","1499090069.977310","1499090069.977772",2,389,4328,841891,"194.5",0,0,2,0,2,0,0,,
13400,"192.168.10.12:139->192.168.10.25:62336","2017-07-03 14:40:54.382","2017-07-03 14:40:54.382","192.168.10.12",139,"192.168.10.25",62336,DCERPC,"0.000000","1499092854.382267","1499092854.382267",1,128,0,0,128,0,0,1,0,1,0,0,,
13400,"192.168.10.25:62336->192.168.10.12:139","2017-07-03 14:40:54.382","2017-07-03 14:40:54.382","192.168.10.25",62336,"192.168.10.12",139,DCERPC,"0.000000","1499092854.382086","1499092854.382086",1,158,0,0,158,0,0,1,0,1,0,0,,
1384,"192.168.10.14:50077->192.168.10.3:135","2017-07-03 12:12:37.498","2017-07-03 12:12:37.498","192.168.10.14",50077,"192.168.10.3",135,DCERPC,"0.000000","1499083957.498106","1499083957.498106",1,116,0,0,116,0,0,1,0,1,0,0,,
1384,"192.168.10.3:135->192.168.10.14:50077","2017-07-03 12:12:37.498","2017-07-03 12:12:37.498","192.168.10.3",135,"192.168.10.14",50077,DCERPC,"0.000000","1499083957.498222","1499083957.498222",1,84,0,0,84,0,0,1,0,1,0,0,,
1385,"192.168.10.14:50078->192.168.10.3:49666","2017-07-03 12:12:37.499","2017-07-03 12:12:37.499","192.168.10.14",50078,"192.168.10.3",49666,DCERPC,"0.000000","1499083957.499228","1499083957.499228",1,177,0,0,177,0,0,1,0,1,0,0,,
1385,"192.168.10.3:49666->192.168.10.14:50078","2017-07-03 12:12:37.499","2017-07-03 12:12:37.499","192.168.10.3",49666,"192.168.10.14",50078,DCERPC,"0.000000","1499083957.499301","1499083957.499301",1,104,0,0,104,0,0,1,0,1,0,0,,
14106,"192.168.10.12:139->192.168.10.25:55595","2017-07-03 13:55:54.880","2017-07-03 13:55:54.880","192.168.10.12",139,"192.168.10.25",55595,DCERPC,"0.000000","1499090154.880126","1499090154.880126",1,128,0,0,128,0,0,1,0,1,0,0,,
14106,"192.168.10.25:55595->192.168.10.12:139","2017-07-03 13:55:54.879","2017-07-03 13:55:54.879","192.168.10.25",55595,"192.168.10.12",139,DCERPC,"0.000000","1499090154.879890","1499090154.879890",1,158,0,0,158,0,0,1,0,1,0,0,,
14180,"192.168.10.3:135->192.168.10.5:55798","2017-07-03 13:56:31.326","2017-07-03 13:56:31.326","192.168.10.3",135,"192.168.10.5",55798,DCERPC,"0.000000","1499090191.326434","1499090191.326434",1,108,0,0,108,0,0,1,0,1,0,0,,
14180,"192.168.10.5:55798->192.168.10.3:135","2017-07-03 13:56:31.326","2017-07-03 13:56:31.326","192.168.10.5",55798,"192.168.10.3",135,DCERPC,"0.000000","1499090191.326332","1499090191.326332",1,160,0,0,160,0,0,1,0,1,0,0,,
14181,"192.168.10.3:49666->192.168.10.5:55799","2017-07-03 13:56:31.328","2017-07-03 13:56:31.328","192.168.10.3",49666,"192.168.10.5",55799,DCERPC,"0.000400","1499090191.328160","1499090191.328560",2,389,4999,972339,"194.5",0,0,2,0,2,0,0,,
14181,"192.168.10.5:55799->192.168.10.3:49666","2017-07-03 13:56:31.327","2017-07-03 13:56:31.328","192.168.10.5",55799,"192.168.10.3",49666,DCERPC,"0.000763","1499090191.327588","1499090191.328351",2,1975,2621,2588672,"987.5",0,0,2,0,2,0,0,,
14182,"192.168.10.3:49671->192.168.10.5:55800","2017-07-03 13:56:31.346","2017-07-03 13:56:31.346","192.168.10.3",49671,"192.168.10.5",55800,DCERPC,"0.000000","1499090191.346781","1499090191.346781",1,128,0,0,128,0,0,1,0,1,0,0,,
14182,"192.168.10.5:55800->192.168.10.3:49671","2017-07-03 13:56:31.346","2017-07-03 13:56:31.346","192.168.10.5",55800,"192.168.10.3",49671,DCERPC,"0.000000","1499090191.346717","1499090191.346717",1,221,0,0,221,0,0,1,0,1,0,0,,
1422,"192.168.10.12:139->192.168.10.25:49172","2017-07-03 12:13:55.060","2017-07-03 12:13:55.060","192.168.10.12",139,"192.168.10.25",49172,DCERPC,"0.000000","1499084035.060666","1499084035.060666",1,128,0,0,128,0,0,1,0,1,0,0,,
1422,"192.168.10.25:49172->192.168.10.12:139","2017-07-03 12:13:55.060","2017-07-03 12:13:55.060","192.168.10.25",49172,"192.168.10.12",139,DCERPC,"0.000000","1499084035.060472","1499084035.060472",1,158,0,0,158,0,0,1,0,1,0,0,,
14398,"192.168.10.14:53383->192.168.10.3:135","2017-07-03 13:57:19.123","2017-07-03 13:57:19.123","192.168.10.14",53383,"192.168.10.3",135,DCERPC,"0.000000","1499090239.123635","1499090239.123635",1,116,0,0,116,0,0,1,0,1,0,0,,
14398,"192.168.10.3:135->192.168.10.14:53383","2017-07-03 13:57:19.123","2017-07-03 13:57:19.123","192.168.10.3",135,"192.168.10.14",53383,DCERPC,"0.000000","1499090239.123770","1499090239.123770",1,84,0,0,84,0,0,1,0,1,0,0,,
14399,"192.168.10.14:53384->192.168.10.3:49666","2017-07-03 13:57:19.124","2017-07-03 13:57:19.125","192.168.10.14",53384,"192.168.10.3",49666,DCERPC,"0.000788","1499090239.124876","1499090239.125664",2,1931,2538,2450590,"965.5",0,0,2,0,2,0,0,,
14399,"192.168.10.3:49666->192.168.10.14:53384","2017-07-03 13:57:19.125","2017-07-03 13:57:19.125","192.168.10.3",49666,"192.168.10.14",53384,DCERPC,"0.000418","1499090239.125490","1499090239.125908",2,365,4785,873315,"182.5",0,0,2,0,2,0,0,,
14401,"192.168.10.14:53385->192.168.10.3:49671","2017-07-03 13:57:19.279","2017-07-03 13:57:19.279","192.168.10.14",53385,"192.168.10.3",49671,DCERPC,"0.000000","1499090239.279489","1499090239.279489",1,177,0,0,177,0,0,1,0,1,0,0,,
14401,"192.168.10.3:49671->192.168.10.14:53385","2017-07-03 13:57:19.279","2017-07-03 13:57:19.279","192.168.10.3",49671,"192.168.10.14",53385,DCERPC,"0.000000","1499090239.279619","1499090239.279619",1,104,0,0,104,0,0,1,0,1,0,0,,
14437,"192.168.10.12:139->192.168.10.25:62912","2017-07-03 14:43:54.825","2017-07-03 14:43:54.825","192.168.10.12",139,"192.168.10.25",62912,DCERPC,"0.000000","1499093034.825855","1499093034.825855",1,128,0,0,128,0,0,1,0,1,0,0,,
14437,"192.168.10.25:62912->192.168.10.12:139","2017-07-03 14:43:54.825","2017-07-03 14:43:54.825","192.168.10.25",62912,"192.168.10.12",139,DCERPC,"0.000000","1499093034.825634","1499093034.825634",1,158,0,0,158,0,0,1,0,1,0,0,,
14660,"192.168.10.12:139->192.168.10.25:55710","2017-07-03 13:58:54.459","2017-07-03 13:58:54.459","192.168.10.12",139,"192.168.10.25",55710,DCERPC,"0.000000","1499090334.459642","1499090334.459642",1,128,0,0,128,0,0,1,0,1,0,0,,
14660,"192.168.10.25:55710->192.168.10.12:139","2017-07-03 13:58:54.459","2017-07-03 13:58:54.459","192.168.10.25",55710,"192.168.10.12",139,DCERPC,"0.000000","1499090334.459414","1499090334.459414",1,158,0,0,158,0,0,1,0,1,0,0,,
15,"192.168.10.3:49666->192.168.10.9:1044","2017-07-03 11:56:58.381","2017-07-03 11:57:12.721","192.168.10.3",49666,"192.168.10.9",1044,DCERPC,"14.339748","1499083018.381676","1499083032.721424",5,826,"0.34868116","57.602127","165.2",0,0,5,0,5,0,0,,
15,"192.168.10.9:1044->192.168.10.3:49666","2017-07-03 11:56:58.381","2017-07-03 11:57:12.721","192.168.10.9",1044,"192.168.10.3",49666,DCERPC,"14.340213","1499083018.381154","1499083032.721367",5,4076,"0.34866986","284.23567","815.2",0,0,5,0,5,0,0,,
1512,"192.168.10.12:139->192.168.10.25:57163","2017-07-03 14:10:54.491","2017-07-03 14:10:54.491","192.168.10.12",139,"192.168.10.25",57163,DCERPC,"0.000000","1499091054.491890","1499091054.491890",1,128,0,0,128,0,0,1,0,1,0,0,,
1512,"192.168.10.25:57163->192.168.10.12:139","2017-07-03 14:10:54.491","2017-07-03 14:10:54.491","192.168.10.25",57163,"192.168.10.12",139,DCERPC,"0.000000","1499091054.491675","1499091054.491675",1,158,0,0,158,0,0,1,0,1,0,0,,
15343,"192.168.10.3:135->192.168.10.5:56183","2017-07-03 14:00:15.922","2017-07-03 14:00:15.922","192.168.10.3",135,"192.168.10.5",56183,DCERPC,"0.000000","1499090415.922418","1499090415.922418",1,108,0,0,108,0,0,1,0,1,0,0,,
15343,"192.168.10.5:56183->192.168.10.3:135","2017-07-03 14:00:15.922","2017-07-03 14:00:15.922","192.168.10.5",56183,"192.168.10.3",135,DCERPC,"0.000000","1499090415.922286","1499090415.922286",1,160,0,0,160,0,0,1,0,1,0,0,,
15344,"192.168.10.3:49666->192.168.10.5:56184","2017-07-03 14:00:15.924","2017-07-03 14:00:15.924","192.168.10.3",49666,"192.168.10.5",56184,DCERPC,"0.000412","1499090415.924131","1499090415.924543",2,389,4855,944204,"194.5",0,0,2,0,2,0,0,,
15344,"192.168.10.5:56184->192.168.10.3:49666","2017-07-03 14:00:15.923","2017-07-03 14:00:15.924","192.168.10.5",56184,"192.168.10.3",49666,DCERPC,"0.000732","1499090415.923550","1499090415.924282",2,2013,2732,2749311,"1006.5",0,0,2,0,2,0,0,,
1547,"192.168.10.3:135->192.168.10.8:49403","2017-07-03 12:45:21.147","2017-07-03 12:45:21.147","192.168.10.3",135,"192.168.10.8",49403,DCERPC,"0.000049","1499085921.147612","1499085921.147661",2,216,40920,4419364,108,0,0,2,0,2,0,0,"TCP Spurious Retransmission","TCP Spurious Retransmission"
1547,"192.168.10.8:49403->192.168.10.3:135","2017-07-03 12:45:21.147","2017-07-03 12:45:21.147","192.168.10.8",49403,"192.168.10.3",135,DCERPC,"0.000000","1499085921.147477","1499085921.147477",1,160,0,0,160,0,0,1,0,1,0,0,,
1548,"192.168.10.3:49666->192.168.10.8:49404","2017-07-03 12:45:21.148","2017-07-03 12:45:21.148","192.168.10.3",49666,"192.168.10.8",49404,DCERPC,"0.000000","1499085921.148565","1499085921.148565",1,128,0,0,128,0,0,1,0,1,0,0,,
1548,"192.168.10.8:49404->192.168.10.3:49666","2017-07-03 12:45:21.148","2017-07-03 12:45:21.148","192.168.10.8",49404,"192.168.10.3",49666,DCERPC,"0.000000","1499085921.148405","1499085921.148405",1,221,0,0,221,0,0,1,0,1,0,0,,
15745,"192.168.10.12:139->192.168.10.25:55785","2017-07-03 14:01:54.869","2017-07-03 14:01:54.869","192.168.10.12",139,"192.168.10.25",55785,DCERPC,"0.000000","1499090514.869839","1499090514.869839",1,128,0,0,128,0,0,1,0,1,0,0,,
15745,"192.168.10.25:55785->192.168.10.12:139","2017-07-03 14:01:54.869","2017-07-03 14:01:54.869","192.168.10.25",55785,"192.168.10.12",139,DCERPC,"0.000000","1499090514.869602","1499090514.869602",1,158,0,0,158,0,0,1,0,1,0,0,,
16005,"192.168.10.12:139->192.168.10.25:63472","2017-07-03 14:46:54.373","2017-07-03 14:46:54.373","192.168.10.12",139,"192.168.10.25",63472,DCERPC,"0.000000","1499093214.373370","1499093214.373370",1,128,0,0,128,0,0,1,0,1,0,0,,
16005,"192.168.10.25:63472->192.168.10.12:139","2017-07-03 14:46:54.373","2017-07-03 14:46:54.373","192.168.10.25",63472,"192.168.10.12",139,DCERPC,"0.000000","1499093214.373137","1499093214.373137",1,158,0,0,158,0,0,1,0,1,0,0,,
16541,"192.168.10.3:135->192.168.10.8:50455","2017-07-03 14:03:21.836","2017-07-03 14:03:21.836","192.168.10.3",135,"192.168.10.8",50455,DCERPC,"0.000000","1499090601.836310","1499090601.836310",1,108,0,0,108,0,0,1,0,1,0,0,,
16541,"192.168.10.8:50455->192.168.10.3:135","2017-07-03 14:03:21.836","2017-07-03 14:03:21.836","192.168.10.8",50455,"192.168.10.3",135,DCERPC,"0.000000","1499090601.836171","1499090601.836171",1,160,0,0,160,0,0,1,0,1,0,0,,
16542,"192.168.10.3:49666->192.168.10.8:50456","2017-07-03 14:03:21.837","2017-07-03 14:03:21.838","192.168.10.3",49666,"192.168.10.8",50456,DCERPC,"0.000343","1499090601.837919","1499090601.838262",2,389,5829,1133832,"194.5",0,0,2,0,2,0,0,,
16542,"192.168.10.8:50456->192.168.10.3:49666","2017-07-03 14:03:21.837","2017-07-03 14:03:21.838","192.168.10.8",50456,"192.168.10.3",49666,DCERPC,"0.000683","1499090601.837365","1499090601.838048",2,1802,2928,2638093,901,0,0,2,0,2,0,0,,
16543,"192.168.10.3:49671->192.168.10.8:50457","2017-07-03 14:03:21.963","2017-07-03 14:03:21.963","192.168.10.3",49671,"192.168.10.8",50457,DCERPC,"0.000000","1499090601.963871","1499090601.963871",1,128,0,0,128,0,0,1,0,1,0,0,,
16543,"192.168.10.8:50457->192.168.10.3:49671","2017-07-03 14:03:21.963","2017-07-03 14:03:21.963","192.168.10.8",50457,"192.168.10.3",49671,DCERPC,"0.000000","1499090601.963733","1499090601.963733",1,221,0,0,221,0,0,1,0,1,0,0,,
17202,"192.168.10.12:139->192.168.10.25:63908","2017-07-03 14:49:54.878","2017-07-03 14:49:54.878","192.168.10.12",139,"192.168.10.25",63908,DCERPC,"0.000049","1499093394.878599","1499093394.878648",2,256,40721,5212339,128,0,0,2,0,2,0,0,"TCP Spurious Retransmission","TCP Spurious Retransmission"
17202,"192.168.10.25:63908->192.168.10.12:139","2017-07-03 14:49:54.878","2017-07-03 14:49:54.878","192.168.10.25",63908,"192.168.10.12",139,DCERPC,"0.000000","1499093394.878404","1499093394.878404",1,158,0,0,158,0,0,1,0,1,0,0,,
17320,"192.168.10.12:139->192.168.10.25:56535","2017-07-03 14:04:54.451","2017-07-03 14:04:54.451","192.168.10.12",139,"192.168.10.25",56535,DCERPC,"0.000048","1499090694.451074","1499090694.451122",2,256,41528,5315554,128,0,0,2,0,2,0,0,"TCP Spurious Retransmission","TCP Spurious Retransmission"
17320,"192.168.10.25:56535->192.168.10.12:139","2017-07-03 14:04:54.450","2017-07-03 14:04:54.450","192.168.10.25",56535,"192.168.10.12",139,DCERPC,"0.000000","1499090694.450928","1499090694.450928",1,158,0,0,158,0,0,1,0,1,0,0,,
180,"192.168.10.14:49414->192.168.10.3:135","2017-07-03 12:03:06.185","2017-07-03 12:03:06.185","192.168.10.14",49414,"192.168.10.3",135,DCERPC,"0.000000","1499083386.185721","1499083386.185721",1,116,0,0,116,0,0,1,0,1,0,0,,
180,"192.168.10.3:135->192.168.10.14:49414","2017-07-03 12:03:06.185","2017-07-03 12:03:06.185","192.168.10.3",135,"192.168.10.14",49414,DCERPC,"0.000000","1499083386.185811","1499083386.185811",1,84,0,0,84,0,0,1,0,1,0,0,,
181,"192.168.10.14:49415->192.168.10.3:49666","2017-07-03 12:03:06.381","2017-07-03 12:03:18.592","192.168.10.14",49415,"192.168.10.3",49666,DCERPC,"12.211111","1499083386.381526","1499083398.592637",7,5952,"0.57324841","487.42493","850.2857142857143",0,0,7,0,7,0,0,,
181,"192.168.10.3:49666->192.168.10.14:49415","2017-07-03 12:03:06.382","2017-07-03 12:03:18.592","192.168.10.3",49666,"192.168.10.14",49415,DCERPC,"12.210660","1499083386.382074","1499083398.592734",7,1115,"0.57326959","91.313656","159.28571428571428",0,0,7,0,7,0,0,,
1884,"192.168.10.12:139->192.168.10.25:49332","2017-07-03 12:25:55.049","2017-07-03 12:25:55.049","192.168.10.12",139,"192.168.10.25",49332,DCERPC,"0.000000","1499084755.049895","1499084755.049895",1,128,0,0,128,0,0,1,0,1,0,0,,
